frequency,intensity
nm^{-1},[a.u.]
1.492,38.899
1.496,38.4639
1.5,37.9437
1.504,38.145
1.508,37.9519
1.512,37.8124
1.516,37.9361
1.52,37.9652
1.524,37.4182
1.528,38.0134
1.532,37.6501
1.536,37.6635
1.54,38.1161
1.544,37.3547
1.548,36.7066
1.552,36.7868
1.556,36.9454
1.56,37.3663
1.564,37.1795
1.568,36.8233
1.572,36.5078
1.576,36.3839
1.58,36.2567
1.584,36.1257
1.588,36.1873
1.592,35.8547
1.596,35.6364
1.6,36.08
1.604,36.1061
1.608,35.7632
1.612,35.3766
1.616,35.1643
1.62,35.6041
1.624,35.2012
1.628,35.1624
1.632,34.9186
1.636,34.7583
1.64,35.0052
1.644,35.208
1.648,34.8254
1.652,34.7763
1.656,34.7268
1.66,34.6453
1.664,34.6133
1.668,34.641
1.672,33.9108
1.676,34.1291
1.68,34.4518
1.684,34.131
1.688,34.2439
1.692,34.0385
1.696,34.0045
1.7,33.8869
1.704,34.1288
1.708,33.5751
1.712,33.2331
1.716,32.9394
1.72,33.2318
1.724,33.8972
1.728,33.1804
1.732,33.0361
1.736,33.1994
1.74,33.2429
1.744,33.4573
1.748,33.409
1.752,33.1119
1.756,33.0366
1.76,32.5653
1.764,32.7375
1.768,32.4027
1.772,32.4469
1.776,32.6128
1.78,32.4818
1.784,32.2249
1.788,32.3936
1.792,32.36
1.796,32.3969
1.8,32.4275
1.804,32.548
1.808,32.6007
1.812,32.7357
1.816,32.1996
1.82,32.0196
1.824,32.0775
1.828,31.7299
1.832,32.0835
1.836,32.3956
1.84,31.935
1.844,31.6973
1.848,31.8646
1.852,31.8322
1.856,31.675
1.86,31.8949
1.864,31.8187
1.868,31.6275
1.872,31.57
1.876,31.4453
1.88,31.3845
1.884,31.3407
1.888,31.492
1.892,31.514
1.896,31.4862
1.9,31.5622
1.904,31.645
1.908,31.3347
1.912,31.2293
1.916,31.5492
1.92,31.442
1.924,31.5076
1.928,31.1444
1.932,31.1826
1.936,30.6526
1.94,30.9822
1.944,30.8426
1.948,30.6462
1.952,30.5595
1.956,30.3047
1.96,30.3886
1.964,30.5108
1.968,30.3191
1.972,30.4123
1.976,30.5177
1.98,30.2377
1.984,30.0278
1.988,30.1303
1.992,29.8329
1.996,29.9036
2,30.1907
2.004,30.2519
2.008,29.9928
2.012,30.0331
2.016,29.6304
2.02,29.4708
2.024,29.7634
2.028,29.579
2.032,29.8515
2.036,29.7362
2.04,29.8223
2.044,29.1361
2.048,29.3117
2.052,29.4229
2.056,29.3868
2.06,29.0607
2.064,28.9646
2.068,28.7924
2.072,28.6148
2.076,28.5919
2.08,28.7804
2.084,28.9059
2.088,28.9502
2.092,28.6911
2.096,28.843
2.1,28.933
2.104,28.4783
2.108,28.22
2.112,28.3604
2.116,28.3397
2.12,27.8787
2.124,27.8459
2.128,28.0643
2.132,28.2627
2.136,28.2636
2.14,28.2249
2.144,28.1203
2.148,27.8797
2.152,27.7341
2.156,27.7798
2.16,27.7937
2.164,27.72
2.168,27.1239
2.172,26.934
2.176,27.0296
2.18,27.0873
2.184,27.3677
2.188,27.4623
2.192,27.2843
2.196,27.2715
2.2,27.0178
2.204,26.6203
2.208,26.6498
2.212,26.649
2.216,26.5783
2.22,26.2289
2.224,26.5511
2.228,26.6987
2.232,26.5849
2.236,26.3782
2.24,26.0248
2.244,25.7896
2.248,26.021
2.252,25.743
2.256,26.1936
2.26,26.2051
2.264,25.8263
2.268,25.8965
2.272,25.6604
2.276,25.4657
2.28,25.3726
2.284,25.1748
2.288,25.4352
2.292,25.3249
2.296,25.4466
2.3,25.0675
2.304,24.7596
2.308,24.7614
2.312,24.6569
2.316,24.6531
2.32,24.463
2.324,24.7248
2.328,24.7166
2.332,24.5382
2.336,24.3964
2.34,24.3351
2.344,24.3039
2.348,24.3131
2.352,24.2582
2.356,23.9729
2.36,23.9264
2.364,23.941
2.368,23.7264
2.372,23.7199
2.376,23.6336
2.38,23.3676
2.384,23.8581
2.388,23.9613
2.392,23.676
2.396,23.329
2.4,23.4528
2.404,23.4274
2.408,23.7339
2.412,23.2153
2.416,23.0968
2.42,23.1007
2.424,22.9142
2.428,22.6804
2.432,23.041
2.436,22.7177
2.44,22.6775
2.444,22.7845
2.448,22.61
2.452,22.3189
2.456,22.4284
2.46,22.53
2.464,22.595
2.468,22.4004
2.472,21.9278
2.476,22.019
2.48,21.9892
2.484,21.977
2.488,21.8062
2.492,21.9197
2.496,21.6108
2.5,21.6073
2.504,21.7402
2.508,21.751
2.512,21.7094
2.516,21.4819
2.52,21.1814
2.524,21.4978
2.528,21.5557
2.532,21.352
2.536,21.2392
2.54,21.2134
2.544,21.1671
2.548,21.1925
2.552,21.175
2.556,21.0855
2.56,20.8686
2.564,20.8526
2.568,20.9483
2.572,21.0009
2.576,20.8412
2.58,20.732
2.584,20.5103
2.588,20.6432
2.592,20.4742
2.596,20.3448
2.6,20.2477
2.604,20.2113
2.608,20.1842
2.612,20.0989
2.616,20.3126
2.62,20.037
2.624,20.0827
2.628,19.938
2.632,20.0704
2.636,20.039
2.64,20.0363
2.644,20.4984
2.648,19.9236
2.652,19.8417
2.656,19.7286
2.66,19.6843
2.664,19.7046
2.668,19.8132
2.672,19.7433
2.676,19.427
2.68,19.4453
2.684,19.3277
2.688,19.4641
2.692,19.2778
2.696,19.3765
2.7,19.2553
2.704,19.2965
2.708,19.095
2.712,19.0508
2.716,18.9118
2.72,18.9368
2.724,19.1852
2.728,18.8264
2.732,19.0252
2.736,19.2139
2.74,18.8739
2.744,19.0294
2.748,18.8626
2.752,18.6906
2.756,18.7795
2.76,18.7986
2.764,18.6037
2.768,18.7344
2.772,18.9168
2.776,18.5821
2.78,18.4924
2.784,18.4819
2.788,18.3677
2.792,18.3451
2.796,18.1981
2.8,17.9301
2.804,18.2127
2.808,18.0718
2.812,17.9892
2.816,17.9081
2.82,18.0683
2.824,18.2649
2.828,18.1143
2.832,18.0529
2.836,18.2581
2.84,17.7221
2.844,17.9803
2.848,18.04
2.852,18.0267
2.856,18.0745
2.86,17.9838
2.864,17.8203
2.868,17.8647
2.872,17.5193
2.876,17.3971
2.88,17.4409
2.884,17.4982
2.888,17.5698
2.892,17.3879
2.896,17.3534
2.9,17.5377
2.904,17.4552
2.908,17.4554
2.912,17.3836
2.916,17.2213
2.92,17.3895
2.924,17.7308
2.928,17.0703
2.932,16.8486
2.936,17.0973
2.94,17.0529
2.944,17.3785
2.948,17.1812
2.952,16.9516
2.956,16.7993
2.96,16.8754
2.964,16.8291
2.968,16.7892
2.972,16.8591
2.976,16.8345
2.98,16.9447
2.984,16.8914
2.988,16.6199
2.992,16.7874
2.996,17.1563
3,16.8094
3.004,17.0089
3.008,16.9495
3.012,16.9395
3.016,16.543
3.02,16.5779
3.024,16.5453
3.028,16.4007
3.032,16.2388
3.036,16.4559
3.04,16.4337
3.044,16.3278
3.048,16.2056
3.052,16.3003
3.056,16.2221
3.06,16.2055
3.064,16.1533
3.068,16.4617
3.072,16.0767
3.076,16.0075
3.08,16.0361
3.084,16.0362
3.088,15.9812
3.092,16.1446
3.096,16.1206
3.1,15.7778
3.104,15.9563
3.108,16.0776
3.112,15.9702
3.116,15.9357
3.12,16.142
3.124,15.9622
3.128,15.9345
3.132,15.9577
3.136,15.7091
3.14,15.6297
3.144,15.5688
3.148,15.5849
3.152,15.4817
3.156,15.5927
3.16,15.6005
3.164,15.5109
3.168,15.6044
3.172,15.6904
3.176,16.0162
3.18,15.7658
3.184,15.6589
3.188,15.6403
3.192,15.4226
3.196,15.6025
3.2,15.7209
3.204,15.637
3.208,15.6467
3.212,15.1804
3.216,15.1219
3.22,15.373
3.224,15.3457
3.228,15.236
3.232,15.3566
3.236,15.5526
3.24,15.0398
3.244,14.9764
3.248,15.2792
3.252,15.1829
3.256,15.1026
3.26,14.9253
3.264,15.3236
3.268,14.9462
3.272,15.0769
3.276,14.956
3.28,15.0423
3.284,15.0151
3.288,14.9425
3.292,14.9979
3.296,15.0229
3.3,15.0444
3.304,14.9478
3.308,14.8841
3.312,15.1184
3.316,15.1375
3.32,15.056
3.324,14.9036
3.328,14.6344
3.332,14.6642
3.336,14.3619
3.34,14.6197
3.344,14.6125
3.348,14.6785
3.352,14.8257
3.356,14.6826
3.36,14.64
3.364,14.3695
3.368,14.4036
3.372,14.5662
3.376,14.4875
3.38,14.5129
3.384,14.342
3.388,14.1607
3.392,14.3128
3.396,14.3588
3.4,14.1755
3.404,14.208
3.408,14.3101
3.412,14.4241
3.416,14.3211
3.42,14.5054
3.424,14.5812
3.428,14.2873
3.432,14.4097
3.436,14.3623
3.44,14.2204
3.444,14.1135
3.448,13.8556
3.452,14.088
3.456,14.1106
3.46,14.1567
3.464,14.0803
3.468,14.1172
3.472,14.0858
3.476,14.3851
3.48,14.2215
3.484,14.0632
3.488,14.0022
3.492,13.9971
3.496,14.2684
3.5,14.005
3.504,13.9447
3.508,13.771
3.512,13.7528
3.516,13.9345
3.52,13.8547
3.524,13.5775
3.528,13.8296
3.532,13.7413
3.536,13.8221
3.54,13.8333
3.544,13.6821
3.548,13.6128
3.552,13.8407
3.556,13.7512
3.56,13.7593
3.564,13.512
3.568,13.5162
3.572,13.5431
3.576,13.4961
3.58,13.2858
3.584,13.5264
3.588,13.6907
3.592,13.4429
3.596,13.5529
3.6,13.7813
3.604,13.461
3.608,13.7042
3.612,13.463
3.616,13.3315
3.62,13.5897
3.624,13.4201
3.628,13.3452
3.632,13.4903
3.636,13.4191
3.64,13.3627
3.644,13.4724
3.648,13.3169
3.652,13.1094
3.656,13.4181
3.66,13.4989
3.664,13.2757
3.668,13.139
3.672,13.3801
3.676,13.1871
3.68,13.3059
3.684,13.253
3.688,13.3572
3.692,13.1425
3.696,13.108
3.7,13.2524
3.704,13.5986
3.708,13.2512
3.712,13.1513
3.716,12.8299
3.72,13.1564
3.724,13.1294
3.728,13.0721
3.732,13.1491
3.736,12.989
3.74,13.0636
3.744,12.9819
3.748,13.3024
3.752,13.1082
3.756,13.0685
3.76,12.9806
3.764,12.8265
3.768,12.9311
3.772,12.9268
3.776,12.9769
3.78,12.8527
3.784,12.9322
3.788,12.7727
3.792,12.8842
3.796,13.1318
3.8,13.1157
3.804,12.9474
3.808,13.005
3.812,12.558
3.816,12.5881
3.82,12.7523
3.824,12.6369
3.828,12.7251
3.832,12.8645
3.836,12.8853
3.84,12.7121
3.844,12.7633
3.848,12.6171
3.852,12.418
3.856,12.5523
3.86,12.5672
3.864,12.819
3.868,12.9145
3.872,12.5156
3.876,12.6101
3.88,12.7058
3.884,12.7667
3.888,12.6183
3.892,12.4323
3.896,12.567
3.9,12.827
3.904,12.7814
3.908,12.5414
3.912,12.4882
3.916,12.4967
3.92,12.5449
3.924,12.3048
3.928,12.3096
3.932,12.5085
3.936,12.483
3.94,12.2799
3.944,12.4068
3.948,12.3661
3.952,12.375
3.956,12.2913
3.96,12.4659
3.964,12.5948
3.968,12.7372
3.972,12.3966
3.976,12.3056
3.98,12.4536
3.984,12.376
3.988,12.132
3.992,12.2872
3.996,12.2521
4,12.6493
4.004,12.3807
4.008,12.3908
4.012,12.3418
4.016,12.0897
4.02,12.5166
4.024,12.6478
4.028,12.5593
4.032,12.3383
4.036,12.3588
4.04,12.4233
4.044,12.2502
4.048,12.2113
4.052,12.3191
4.056,12.1739
4.06,12.336
4.064,12.2862
4.068,12.3578
4.072,12.2535
4.076,12.3304
4.08,12.3437
4.084,12.3791
4.088,12.3064
4.092,12.2902
4.096,12.5009
4.1,12.0978
4.104,12.2233
4.108,12.1948
4.112,12.0425
4.116,12.0373
4.12,11.934
4.124,12.0863
4.128,12.177
4.132,12.2445
4.136,12.3823
4.14,12.1483
4.144,12.2453
4.148,12.308
4.152,12.0191
4.156,11.9709
4.16,12.1003
4.164,12.077
4.168,12.005
4.172,12.1734
4.176,12.0996
4.18,12.0061
4.184,12.2028
4.188,12.0394
4.192,12.0972
4.196,11.8413
4.2,12.198
4.204,12.0069
4.208,11.9919
4.212,11.8757
4.216,12.0973
4.22,11.8653
4.224,11.8604
4.228,11.8932
4.232,11.6993
4.236,11.6545
4.24,11.7511
4.244,11.892
4.248,12.1021
4.252,12.1093
4.256,11.8457
4.26,11.8823
4.264,11.6325
4.268,11.9141
4.272,11.9897
4.276,11.9703
4.28,11.8643
4.284,11.9139
4.288,11.7768
4.292,12.1169
4.296,11.9977
4.3,11.733
4.304,11.7046
4.308,11.7472
4.312,11.7436
4.316,11.8635
4.32,11.7678
4.324,11.7096
4.328,11.5707
4.332,11.6702
4.336,11.7596
4.34,11.9153
4.344,11.9364
4.348,11.9527
4.352,11.8507
4.356,11.6893
4.36,11.7532
4.364,11.4046
4.368,11.5579
4.372,11.817
4.376,11.8833
4.38,11.7358
4.384,11.7934
4.388,11.999
4.392,12.0026
4.396,11.9441
4.4,11.6164
4.404,11.623
4.408,11.7903
4.412,11.7585
4.416,11.6565
4.42,11.7355
4.424,11.7647
4.428,11.7577
4.432,11.5101
4.436,11.7737
4.44,11.7694
4.444,11.4678
4.448,11.3251
4.452,11.3199
4.456,11.7117
4.46,11.6082
4.464,11.7997
4.468,11.7111
4.472,11.4152
4.476,11.5991
4.48,11.5769
4.484,11.6536
4.488,11.5029
4.492,11.6746
4.496,11.7061
4.5,11.6908
4.504,11.5562
4.508,11.4432
4.512,11.8184
4.516,11.7356
4.52,11.7893
4.524,11.489
4.528,11.4227
4.532,11.4548
4.536,11.4442
4.54,11.6417
4.544,11.4673
4.548,11.5151
4.552,11.8241
4.556,11.6098
4.56,11.7638
4.564,11.5499
4.568,11.2124
4.572,11.2713
4.576,11.3565
4.58,11.5287
4.584,11.5516
4.588,11.6978
4.592,11.5207
4.596,11.3697
4.6,11.3757
4.604,11.4662
4.608,11.376
4.612,11.3589
4.616,11.3345
4.62,11.5705
4.624,11.5483
4.628,11.2667
4.632,11.3115
4.636,11.4439
4.64,11.3188
4.644,11.5519
4.648,11.5102
4.652,11.6312
4.656,11.4929
4.66,11.4332
4.664,11.334
4.668,11.322
4.672,11.3489
4.676,11.3142
4.68,11.2706
4.684,11.2495
4.688,11.3432
4.692,11.5013
4.696,11.3872
4.7,11.3736
4.704,11.2127
4.708,11.4034
4.712,11.3653
4.716,11.4784
4.72,11.3853
4.724,11.392
4.728,11.2898
4.732,11.2247
4.736,11.3797
4.74,11.3586
4.744,11.4376
4.748,11.3649
4.752,11.3353
4.756,11.3014
4.76,11.2262
4.764,11.1854
4.768,11.2223
4.772,11.2245
4.776,11.2724
4.78,11.1159
4.784,11.0991
4.788,11.1995
4.792,11.3305
4.796,11.1527
4.8,11.2973
4.804,11.2379
4.808,11.2489
4.812,11.3793
4.816,11.2546
4.82,11.4039
4.824,11.2679
4.828,11.2296
4.832,11.0728
4.836,11.1942
4.84,11.1387
4.844,11.1994
4.848,11.1025
4.852,11.2007
4.856,11.0053
4.86,11.1947
4.864,11.068
4.868,11.2337
4.872,11.2346
4.876,11.1052
4.88,11.2381
4.884,10.92
4.888,11.0404
4.892,11.2372
4.896,11.0335
4.9,11.0566
4.904,11.0458
4.908,11.2641
4.912,11.1242
4.916,11.0799
4.92,10.8724
4.924,11.2226
4.928,11.1823
4.932,10.9653
4.936,11.0053
4.94,11.0363
4.944,11.059
4.948,11.2483
4.952,11.0184
4.956,10.8649
4.96,11.1637
4.964,11.1931
4.968,11.1391
4.972,11.0178
4.976,11.142
4.98,10.9732
4.984,11.2697
4.988,11.1833
4.992,11.0189
4.996,11.1379
5,10.9874
5.004,10.7947
5.008,10.8313
5.012,10.9379
5.016,11.0479
5.02,10.9907
5.024,10.768
5.028,10.9022
5.032,11.0002
5.036,11.1386
5.04,10.9803
5.044,10.7425
5.048,10.7686
5.052,10.9306
5.056,10.783
5.06,10.9684
5.064,10.853
5.068,10.8515
5.072,10.9864
5.076,10.9998
5.08,10.7884
5.084,11.1005
5.088,10.8389
5.092,10.9476
5.096,10.8491
5.1,10.915
5.104,10.8809
5.108,11.0027
5.112,11.0827
5.116,11.0127
5.12,10.9085
5.124,10.7205
5.128,10.8947
5.132,10.8512
5.136,10.8834
5.14,10.7076
5.144,10.7851
5.148,10.8745
5.152,10.8325
5.156,10.7695
5.16,10.7491
5.164,10.9952
5.168,10.9435
5.172,10.8694
5.176,10.8252
5.18,10.9056
5.184,10.9298
5.188,10.8012
5.192,11.1002
5.196,11.0527
5.2,10.6779
5.204,10.6591
5.208,10.674
5.212,10.7009
5.216,10.5377
5.22,10.5932
5.224,10.6639
5.228,10.8091
5.232,10.9044
5.236,10.6368
5.24,10.6298
5.244,10.7807
5.248,10.7083
5.252,10.6639
5.256,10.5882
5.26,10.5956
5.264,10.5845
5.268,10.7373
5.272,10.8749
5.276,10.7711
5.28,10.9018
5.284,10.747
5.288,10.6426
5.292,10.7874
5.296,10.5554
5.3,10.7144
5.304,10.7939
5.308,10.7663
5.312,10.8427
5.316,10.6296
5.32,10.5518
5.324,10.6805
5.328,10.7094
5.332,10.4466
5.336,10.446
5.34,10.6633
5.344,10.9615
5.348,10.9003
5.352,10.6547
5.356,10.5857
5.36,10.5134
5.364,10.464
5.368,10.4997
5.372,10.6393
5.376,10.6031
5.38,10.5129
5.384,10.5739
5.388,10.7791
5.392,10.5752
5.396,10.4811
5.4,10.7535
5.404,10.5992
5.408,10.6739
5.412,10.6006
5.416,10.6593
5.42,10.5441
5.424,10.5936
5.428,10.5023
5.432,10.517
5.436,10.6276
5.44,10.7085
5.444,10.396
5.448,10.5301
5.452,10.6205
5.456,10.5804
5.46,10.4323
5.464,10.2394
5.468,10.456
5.472,10.3745
5.476,10.528
5.48,10.5795
5.484,10.4069
5.488,10.3433
5.492,10.3479
5.496,10.4122
5.5,10.5265
5.504,10.6395
5.508,10.6772
5.512,10.7057
5.516,10.4832
5.52,10.5105
5.524,10.7106
5.528,10.4727
5.532,10.4084
5.536,10.4888
5.54,10.4298
5.544,10.5919
5.548,10.4735
5.552,10.647
5.556,10.6043
5.56,10.3861
5.564,10.4148
5.568,10.5338
5.572,10.4155
5.576,10.3644
5.58,10.4556
5.584,10.4127
5.588,10.4541
5.592,10.4596
5.596,10.4939
5.6,10.3984
5.604,10.6466
5.608,10.4946
5.612,10.3218
5.616,10.3539
5.62,10.5041
5.624,10.6316
5.628,10.3393
5.632,10.3799
5.636,10.4748
5.64,10.3844
5.644,10.5945
5.648,10.4495
5.652,10.5365
5.656,10.5339
5.66,10.3895
5.664,10.5494
5.668,10.6276
5.672,10.4315
5.676,10.5038
5.68,10.3263
5.684,10.2765
5.688,10.3583
5.692,10.3377
5.696,10.5714
5.7,10.3612
5.704,10.3252
5.708,10.3671
5.712,10.4873
5.716,10.471
5.72,10.2084
5.724,10.4244
5.728,10.5177
5.732,10.2721
5.736,10.1729
5.74,10.4903
5.744,10.3932
5.748,10.2074
5.752,10.398
5.756,10.4717
5.76,10.5309
5.764,10.3327
5.768,10.3095
5.772,10.1599
5.776,10.3412
5.78,10.297
5.784,10.4688
5.788,10.4658
5.792,10.4137
5.796,10.2946
5.8,10.5133
5.804,10.2195
5.808,10.4833
5.812,10.3064
5.816,10.328
5.82,10.3436
5.824,10.342
5.828,10.424
5.832,10.4249
5.836,10.3304
5.84,10.4192
5.844,10.5611
5.848,10.3205
5.852,10.0902
5.856,10.194
5.86,10.4293
5.864,10.1938
5.868,10.2862
5.872,10.1989
5.876,10.0745
5.88,10.2179
5.884,10.0656
5.888,10.3409
5.892,10.2875
5.896,10.0762
5.9,10.3724
5.904,10.4751
5.908,10.3684
5.912,10.5381
5.916,10.2735
5.92,10.3735
5.924,10.2171
5.928,10.1437
5.932,10.2062
5.936,10.2045
5.94,10.4794
5.944,10.2985
5.948,10.2143
5.952,10.2284
5.956,10.0958
5.96,10.2213
5.964,10.3252
5.968,10.3024
5.972,10.2607
5.976,10.3199
5.98,10.4067
5.984,10.3654
5.988,10.3494
5.992,10.2616
5.996,10.2023
6,10.1883
6.004,10.1856
6.008,10.2256
6.012,10.1018
6.016,10.1286
6.02,10.1841
6.024,10.2846
6.028,10.324
6.032,10.1231
6.036,10.1003
6.04,9.94862
6.044,10.3382
6.048,10.2962
6.052,10.0314
6.056,10.1999
6.06,10.3807
6.064,10.3359
6.068,10.0359
6.072,10.1698
6.076,10.0584
6.08,9.90552
6.084,9.99208
6.088,10.1994
6.092,10.3039
6.096,10.3233
