frequency,intensity
nm^{-1},[a.u.]
6.328,10.1737
6.332,10.1276
6.336,10.0551
6.34,10.0548
6.344,10.2224
6.348,10.1124
6.352,10.2554
6.356,10.1742
6.36,10.1684
6.364,10.2274
6.368,10.1667
6.372,10.1496
6.376,10.1427
6.38,10.0012
6.384,10.0571
6.388,10.212
6.392,10.1406
6.396,10.0754
6.4,10.1907
6.404,10.2447
6.408,10.044
6.412,9.853
6.416,10.2729
6.42,10.1539
6.424,9.92118
6.428,10.2531
6.432,10.1776
6.436,10.3326
6.44,10.2017
6.444,9.98472
6.448,10.0921
6.452,9.98138
6.456,9.89377
6.46,9.88402
6.464,9.99939
6.468,10.0184
6.472,10.1232
6.476,10.0831
6.48,10.0289
6.484,10.0125
6.488,10.0655
6.492,10.0238
6.496,9.92899
6.5,10.065
6.504,10.1444
6.508,10.1575
6.512,10.0017
6.516,10.2231
6.52,10.1726
6.524,10.1995
6.528,9.98799
6.532,9.92923
6.536,9.87653
6.54,10.0108
6.544,10.1417
6.548,10.1836
6.552,10.17
6.556,10.0015
6.56,10.0452
6.564,10.0024
6.568,10.1643
6.572,10.2074
6.576,9.94743
6.58,10.1711
6.584,10.1414
6.588,10.0373
6.592,10.0658
6.596,10.1414
6.6,10.0644
6.604,10.0335
6.608,9.94584
6.612,9.91263
6.616,10.1116
6.62,10.2031
6.624,10.0258
6.628,9.98961
6.632,10.0477
6.636,10.3294
6.64,10.1408
6.644,10.2359
6.648,10.1741
6.652,10.1489
6.656,10.155
6.66,10.056
6.664,9.9339
6.668,9.99012
6.672,9.87463
6.676,9.75549
6.68,9.76639
6.684,10.0174
6.688,9.89272
6.692,10.0268
6.696,10.0453
6.7,10.0631
6.704,10.2006
6.708,9.8826
6.712,10.1783
6.716,9.98951
6.72,9.85046
6.724,9.74662
6.728,9.94787
6.732,10.0556
6.736,10.061
6.74,9.76088
6.744,9.9193
6.748,9.84907
6.752,9.80063
6.756,10.0372
6.76,9.92187
6.764,9.94386
6.768,9.75237
6.772,9.78686
6.776,9.89361
6.78,10.0086
6.784,9.82352
6.788,9.94977
6.792,9.90909
6.796,10.0698
6.8,10.0886
6.804,10.1714
6.808,10.1785
6.812,10.0724
6.816,10.2365
6.82,9.88251
6.824,9.75818
6.828,9.83848
6.832,10.0364
6.836,10.1721
6.84,10.0524
6.844,9.99331
6.848,9.97926
6.852,9.93809
6.856,9.93172
6.86,10.0827
6.864,10.1975
6.868,9.96776
6.872,9.96151
6.876,9.86071
6.88,10.1053
6.884,10.2704
6.888,9.82149
6.892,9.97616
6.896,10.0525
6.9,9.9399
6.904,9.84872
6.908,9.86627
6.912,9.85918
6.916,10.0745
6.92,9.88083
6.924,9.8589
6.928,9.95455
6.932,10.0741
6.936,10.0164
6.94,10.0689
6.944,9.84324
6.948,9.91049
6.952,9.86751
6.956,10.0472
6.96,9.72065
6.964,9.70576
6.968,9.6414
6.972,9.71187
6.976,9.87543
6.98,9.98088
6.984,9.91586
6.988,9.94598
6.992,10.0958
6.996,9.89226
7,10.0918
7.004,9.96494
7.008,9.89123
7.012,9.99537
7.016,9.99293
7.02,10.058
7.024,9.97396
7.028,9.83073
7.032,9.81078
7.036,9.90146
7.04,9.98156
7.044,10.1506
7.048,9.96235
7.052,10.012
7.056,9.91881
7.06,9.94871
7.064,9.91509
7.068,9.82792
7.072,10.0194
7.076,9.83534
7.08,10.0082
7.084,9.87911
7.088,9.75512
7.092,9.98065
7.096,9.82815
7.1,9.87808
7.104,9.77936
7.108,9.82681
7.112,9.79889
7.116,9.91461
7.12,9.69631
7.124,10.0307
7.128,9.91921
7.132,9.80784
7.136,9.69799
7.14,9.81908
7.144,9.85752
7.148,9.92561
7.152,10.0327
7.156,9.99737
7.16,9.98079
7.164,9.90918
7.168,9.96947
7.172,9.90531
7.176,9.77028
7.18,9.79281
7.184,9.8828
7.188,9.8163
7.192,9.88494
7.196,9.70606
7.2,9.97519
7.204,10.1975
7.208,10.0058
7.212,9.91771
7.216,10.1035
7.22,9.80839
7.224,9.67687
7.228,9.81332
7.232,9.87321
7.236,9.6993
7.24,9.74136
7.244,9.77313
7.248,9.76233
7.252,9.71015
7.256,9.77338
7.26,9.78831
7.264,9.68011
7.268,9.81448
7.272,9.89601
7.276,9.96928
7.28,9.84438
7.284,9.83227
7.288,9.73803
7.292,9.91817
7.296,9.87218
7.3,9.95541
7.304,9.93506
7.308,9.86952
7.312,9.84231
7.316,9.76929
7.32,9.90154
7.324,9.8459
7.328,9.88889
7.332,9.8584
7.336,9.84559
7.34,9.81703
7.344,10.0129
7.348,9.89729
7.352,9.73143
7.356,9.72667
7.36,9.85274
7.364,9.95637
7.368,9.86996
7.372,9.79296
7.376,9.69562
7.38,9.6218
7.384,9.74565
7.388,9.74244
7.392,10.0381
7.396,9.75506
7.4,9.8636
7.404,9.88485
7.408,9.89598
7.412,9.89859
7.416,9.8374
7.42,9.74104
7.424,9.98566
7.428,9.97821
7.432,9.79624
7.436,10.0391
7.44,9.95529
7.444,9.7646
7.448,9.8463
7.452,9.81541
7.456,9.69964
7.46,9.72336
7.464,9.82323
7.468,9.82877
7.472,9.67587
7.476,9.63408
7.48,9.92525
7.484,9.76556
7.488,9.84487
7.492,9.83934
7.496,9.90173
7.5,9.87416
7.504,9.72401
7.508,9.79405
7.512,9.78526
7.516,9.88004
7.52,9.98939
7.524,9.98805
7.528,9.76992
7.532,9.82222
7.536,9.77199
7.54,9.82596
7.544,9.99972
7.548,9.97784
7.552,9.68767
7.556,9.8587
7.56,9.9621
7.564,9.7536
7.568,9.86225
7.572,9.82295
7.576,9.96545
7.58,9.83387
7.584,9.81558
7.588,9.84005
7.592,9.82338
7.596,9.77189
7.6,9.76264
7.604,9.81292
7.608,9.7073
7.612,9.97198
7.616,9.74448
7.62,9.60118
7.624,9.77101
7.628,9.82985
7.632,9.67418
7.636,9.64374
7.64,9.70251
7.644,9.69011
7.648,9.74536
7.652,9.7725
7.656,9.8118
7.66,9.65807
7.664,9.79239
7.668,9.82957
7.672,9.65806
7.676,9.68663
7.68,9.67648
7.684,9.73569
7.688,9.72559
7.692,9.81252
7.696,9.85162
7.7,9.8639
7.704,9.87337
7.708,9.65469
7.712,9.95053
7.716,9.83927
7.72,9.77392
7.724,9.72355
7.728,9.75116
7.732,9.67533
7.736,9.72479
7.74,9.97065
7.744,9.86492
7.748,9.87179
7.752,9.75717
7.756,9.66621
7.76,9.78218
7.764,9.82821
7.768,9.85692
7.772,9.72595
7.776,9.62809
7.78,9.81652
7.784,9.75654
7.788,9.73295
7.792,9.71282
7.796,9.74424
7.8,9.75431
7.804,9.99604
7.808,9.92292
7.812,9.70715
7.816,9.79364
7.82,9.72765
7.824,9.74609
7.828,9.66915
7.832,9.80741
7.836,9.92716
7.84,9.83573
7.844,9.8194
7.848,9.93876
7.852,9.6316
7.856,9.8035
7.86,9.69282
7.864,9.75801
7.868,9.78245
7.872,9.8344
7.876,9.79118
7.88,9.6736
7.884,9.82365
7.888,9.75185
7.892,9.77502
7.896,9.85613
7.9,9.58673
7.904,9.57881
7.908,9.91604
7.912,9.72977
7.916,9.65215
7.92,9.70062
7.924,9.76229
7.928,9.84721
7.932,9.98707
7.936,9.6683
7.94,9.81517
7.944,9.80457
7.948,9.89609
7.952,9.77378
7.956,9.80682
7.96,9.81028
7.964,9.80338
7.968,9.86116
7.972,9.77882
7.976,9.76087
7.98,9.86294
7.984,9.88005
7.988,9.78301
7.992,9.98535
7.996,9.75826
8,9.61983
8.004,9.62783
8.008,9.50275
8.012,9.37075
8.016,9.56952
8.02,9.59262
8.024,9.56727
8.028,9.61547
8.032,9.55778
8.036,9.30063
8.04,9.43528
8.044,9.38908
8.048,9.40458
8.052,9.34745
8.056,9.54602
8.06,9.40955
8.064,9.03255
8.068,9.19897
8.072,9.37547
8.076,9.29828
8.08,9.39166
8.084,9.19184
8.088,9.20707
8.092,9.20088
8.096,9.32424
8.1,9.19884
8.104,9.3056
8.108,9.23855
8.112,9.18964
8.116,8.94067
8.12,9.09336
8.124,9.14393
8.128,9.19371
8.132,8.98767
8.136,9.00119
8.14,8.91861
8.144,8.73763
8.148,8.8854
8.152,8.9726
8.156,8.88329
8.16,8.84484
8.164,8.72685
8.168,8.54383
8.172,8.79
8.176,8.66316
8.18,8.67149
8.184,8.64367
8.188,8.58584
