Energy,NormalizedIntensity
eV,a.u.
7127.0006,0.9042
7127.0991,0.90908
7127.1977,0.91452
7127.2979,0.92042
7127.3964,0.92654
7127.4966,0.93068
7127.6001,0.93592
7127.6954,0.94136
7127.7956,0.94759
7127.904,0.94913
7128.0043,0.95538
7128.0995,0.9598
7128.1998,0.9604
7128.3016,0.96718
7128.4019,0.97019
7128.4988,0.97793
7128.5974,0.98048
7128.7009,0.98367
7128.8012,0.98681
7128.8981,0.98743
7128.9967,0.99034
7129.097,0.98913
7129.1989,0.98883
7129.2991,0.99264
7129.3961,0.99272
7129.498,0.99481
7129.5966,0.99445
7129.6985,0.99755
7129.8005,0.99982
7129.8974,1
7129.9977,0.99983
7130.098,0.9997
7130.1983,0.99992
7130.2969,0.99878
7130.3972,0.99657
7130.4942,0.9961
7130.5961,0.99626
7130.703,0.9957
7130.7984,0.9955
7130.897,0.99476
7130.999,0.99332
7131.0977,0.99131
7131.198,0.99366
7131.3016,0.99192
7131.4002,0.99125
7131.4956,0.99108
7131.596,0.98852
7131.6963,0.9894
7131.7966,0.99112
7131.9594,0.98894
7132.3625,0.98218
7133.1406,0.97539
7134.1873,0.96665
7135.3182,0.95921
7136.4759,0.95441
7137.6603,0.94475
7138.8747,0.92694
7140.121,0.91081
7141.394,0.89272
7142.6924,0.87803
7144.0159,0.86731
7145.3697,0.85593
7146.7521,0.84457
7148.1582,0.83065
7149.5963,0.81452
7151.0664,0.80136
7152.5669,0.78613
7154.093,0.77165
7155.6379,0.75765
7157.21,0.74909
7158.8193,0.74281
7160.4592,0.742
7162.1215,0.74459
7163.8095,0.75108
7165.5282,0.76072
7167.276,0.77286
7169.0497,0.78624
7170.8525,0.79647
7172.6879,0.80609
7174.5493,0.81554
7176.435,0.8206
7178.3501,0.82182
7180.2912,0.8217
7182.2619,0.82116
7184.2654,0.82009
7186.2934,0.81868
7188.3494,0.81722
7190.4334,0.816
7192.5488,0.81208
7194.6939,0.8093
7196.8622,0.80633
7199.0553,0.80241
7201.28,0.79872
7203.5347,0.79373
7205.8161,0.7898
7208.1225,0.7861
7210.4557,0.77971
7220.0911,0.77988
7222.5658,0.77862
7225.0693,0.77644
7227.605,0.77418
7230.1679,0.77321
7232.7565,0.77163
7235.3775,0.77043
7238.0242,0.76888
7240.6933,0.7678
7251.6746,0.77815
7254.4871,0.77952
7257.3309,0.77981
7260.2026,0.78095
7263.0989,0.78198
7278.0145,0.7822
7287.2986,0.77746
7290.4533,0.77528
7293.6315,0.77321
7296.8367,0.77219
7309.9468,0.77012
7313.2952,0.7696
7316.6728,0.76899
7320.0763,0.76857
7323.5074,0.76792
7326.9696,0.7666
7344.6888,0.76961
7348.3172,0.76847
7351.9721,0.76919
7355.6588,0.76857
7359.374,0.76882
7363.1159,0.76888
7366.8828,0.76872
7370.6785,0.76795
7374.5064,0.76851
7378.3579,0.76798
7382.2383,0.76779
7386.1512,0.76789
7390.088,0.76853
7394.0539,0.76928
7398.0473,0.76804
7402.0683,0.76743
7406.117,0.76704
7410.1934,0.76566
7414.2995,0.76487
7418.4353,0.7637
7422.5991,0.76379
7426.7892,0.76291
7431.0076,0.76186
7435.256,0.76076
7439.531,0.76115
7443.8309,0.75905
7448.1612,0.75832
7452.5183,0.7581
7456.9078,0.75847
7461.3225,0.75718
7465.7608,0.75676
7470.2317,0.75643
7474.7317,0.75437
7479.2628,0.75332
7483.8178,0.75299
