Wavenumber,Transmission
cm^{-1},a.u.
3714.8444,0.97489
3713.88,0.97289
3712.9156,0.97333
3711.9512,0.9768
3710.9868,0.97741
3710.0224,0.97532
3709.058,0.97524
3708.0936,0.97706
3707.1292,0.9775
3706.1648,0.97498
3705.2004,0.97246
3704.236,0.97263
3703.2716,0.97393
3702.3072,0.97385
3701.3429,0.9735
3700.3785,0.97567
3699.4141,0.97854
3698.4497,0.97793
3697.4853,0.97498
3696.5209,0.97359
3695.5565,0.9735
3694.5921,0.97211
3693.6277,0.97072
3692.6633,0.9722
3691.6989,0.97584
3690.7345,0.97923
3689.7701,0.9808
3688.8057,0.98028
3687.8413,0.97915
3686.8769,0.97854
3685.9126,0.97758
3684.9482,0.97671
3683.9838,0.97776
3683.0194,0.97967
3682.055,0.97897
3681.0906,0.97637
3680.1262,0.97454
3679.1618,0.97341
3678.1974,0.9728
3677.233,0.97341
3676.2686,0.97445
3675.3042,0.97489
3674.3398,0.97454
3673.3754,0.97306
3672.4111,0.97194
3671.4466,0.97237
3670.4823,0.97341
3669.5179,0.97489
3668.5535,0.97706
3667.5891,0.97767
3666.6247,0.97645
3665.6603,0.97663
3664.6959,0.97767
3663.7315,0.97697
3662.7671,0.97532
3661.8027,0.97402
3660.8383,0.97393
3659.8739,0.97532
3658.9095,0.97637
3657.9451,0.97602
3656.9808,0.97532
3656.0163,0.97602
3655.052,0.97715
3654.0876,0.9768
3653.1232,0.97506
3652.1588,0.97263
3651.1944,0.97089
3650.23,0.97211
3649.2656,0.97498
3648.3012,0.97628
3647.3368,0.97567
3646.3724,0.97472
3645.408,0.97324
3644.4436,0.97167
3643.4792,0.97089
3642.5148,0.97037
3641.5505,0.96985
3640.5861,0.97002
3639.6217,0.97028
3638.6573,0.96898
3637.6929,0.96611
3636.7285,0.96438
3635.7641,0.9649
3634.7997,0.96594
3633.8353,0.96672
3632.8709,0.96742
3631.9065,0.96768
3630.9421,0.96776
3629.9777,0.96794
3629.0133,0.96829
3628.0489,0.96707
3627.0845,0.96412
3626.1202,0.96264
3625.1558,0.96377
3624.1914,0.96542
3623.227,0.96559
3622.2626,0.96429
3621.2982,0.96177
3620.3338,0.96029
3619.3694,0.96116
3618.405,0.9616
3617.4406,0.96116
3616.4762,0.9616
3615.5118,0.96272
3614.5474,0.96368
3613.583,0.9642
3612.6186,0.96394
3611.6543,0.96203
3610.6899,0.9589
3609.7255,0.95795
3608.7611,0.96012
3607.7967,0.96186
3606.8323,0.96125
3605.8679,0.95986
3604.9035,0.95916
3603.9391,0.96029
3602.9747,0.96142
3602.0103,0.95994
3601.0459,0.95734
3600.0815,0.95647
3599.1171,0.95769
3598.1527,0.95968
3597.1883,0.96073
3596.224,0.95968
3595.2596,0.95708
3594.2952,0.95404
3593.3308,0.95265
3592.3664,0.95343
3591.402,0.9536
3590.4376,0.9523
3589.4732,0.95169
3588.5088,0.95186
3587.5444,0.95073
3586.58,0.94926
3585.6156,0.94995
3584.6512,0.9503
3583.6868,0.94848
3582.7224,0.94708
3581.758,0.94752
3580.7937,0.9483
3579.8292,0.94804
3578.8649,0.94743
3577.9005,0.94795
3576.9361,0.94752
3575.9717,0.94448
3575.0073,0.94187
3574.0429,0.94265
3573.0785,0.94491
3572.1141,0.94517
3571.1497,0.94335
3570.1853,0.943
3569.2209,0.94491
3568.2565,0.94596
3567.2921,0.94361
3566.3277,0.93935
3565.3634,0.93666
3564.399,0.93657
3563.4346,0.93814
3562.4702,0.93961
3561.5058,0.93892
3560.5414,0.93701
3559.577,0.93622
3558.6126,0.93675
3557.6482,0.93727
3556.6838,0.93692
3555.7194,0.93535
3554.755,0.93353
3553.7906,0.9324
3552.8262,0.93179
3551.8618,0.93092
3550.8974,0.92945
3549.9331,0.92719
3548.9687,0.92606
3548.0043,0.92806
3547.0399,0.9304
3546.0755,0.9304
3545.1111,0.9291
3544.1467,0.92771
3543.1823,0.92684
3542.2179,0.92658
3541.2535,0.92675
3540.2891,0.92736
3539.3247,0.92753
3538.3603,0.92684
3537.3959,0.92571
3536.4315,0.92432
3535.4671,0.92302
3534.5028,0.92163
3533.5384,0.92058
3532.574,0.9218
3531.6096,0.92458
3530.6452,0.92475
3529.6808,0.92189
3528.7164,0.9205
3527.752,0.92171
3526.7876,0.92241
3525.8232,0.92284
3524.8588,0.92302
3523.8944,0.92128
3522.93,0.91919
3521.9656,0.91824
3521.0012,0.91789
3520.0368,0.91832
3519.0725,0.91841
3518.1081,0.91746
3517.1437,0.91572
3516.1793,0.91381
3515.2149,0.91259
3514.2505,0.91259
3513.2861,0.91302
3512.3217,0.91329
3511.3573,0.91294
3510.3929,0.91233
3509.4285,0.91276
3508.4641,0.91294
3507.4997,0.91259
3506.5353,0.91268
3505.5709,0.91181
3504.6065,0.91007
3503.6422,0.9092
3502.6778,0.90877
3501.7134,0.90755
3500.749,0.90616
3499.7846,0.90668
3498.8202,0.90825
3497.8558,0.90807
3496.8914,0.90686
3495.927,0.90642
3494.9626,0.90581
3493.9982,0.90425
3493.0338,0.90268
3492.0694,0.90208
3491.105,0.90312
3490.1406,0.90434
3489.1762,0.90408
3488.2119,0.90295
3487.2475,0.9019
3486.2831,0.90112
3485.3187,0.90182
3484.3543,0.90329
3483.3899,0.90355
3482.4255,0.9026
3481.4611,0.90251
3480.4967,0.90355
3479.5323,0.90347
3478.5679,0.90173
3477.6035,0.90051
3476.6391,0.90121
3475.6747,0.90208
3474.7103,0.90112
3473.7459,0.89869
3472.7816,0.89738
3471.8172,0.89799
3470.8528,0.89956
3469.8884,0.89982
3468.924,0.89721
3467.9596,0.89356
3466.9952,0.89139
3466.0308,0.89148
3465.0664,0.89261
3464.102,0.89356
3463.1376,0.89374
3462.1732,0.8933
3461.2088,0.89313
3460.2444,0.8933
3459.28,0.89295
3458.3157,0.89252
3457.3513,0.89217
3456.3869,0.89148
3455.4225,0.89165
3454.4581,0.89321
3453.4937,0.89347
3452.5293,0.89287
3451.5649,0.89295
3450.6005,0.89226
3449.6361,0.89026
3448.6717,0.88844
3447.7073,0.88652
3446.7429,0.88435
3445.7785,0.88409
3444.8141,0.88444
3443.8497,0.88313
3442.8854,0.88305
3441.921,0.88444
3440.9566,0.88548
3439.9922,0.88687
3439.0278,0.88757
3438.0634,0.88522
3437.099,0.88183
3436.1346,0.88009
3435.1702,0.87966
3434.2058,0.87975
3433.2414,0.88088
3432.277,0.8834
3431.3126,0.88505
3430.3482,0.88305
3429.3838,0.87983
3428.4194,0.87905
3427.4551,0.87966
3426.4907,0.87992
