Wavenumber,Transmission
cm^{-1},a.u.
3714.8444,0.99624
3713.88,0.99595
3712.9156,0.99575
3711.9512,0.99619
3710.9868,0.99664
3710.0224,0.99703
3709.058,0.99684
3708.0936,0.99629
3707.1292,0.99624
3706.1648,0.99605
3705.2004,0.99545
3704.236,0.9955
3703.2716,0.9959
3702.3072,0.996
3701.3429,0.996
3700.3785,0.996
3699.4141,0.99526
3698.4497,0.99417
3697.4853,0.99422
3696.5209,0.9954
3695.5565,0.9961
3694.5921,0.99526
3693.6277,0.99363
3692.6633,0.99274
3691.6989,0.99303
3690.7345,0.99303
3689.7701,0.9918
3688.8057,0.9914
3687.8413,0.99279
3686.8769,0.99367
3685.9126,0.99323
3684.9482,0.99308
3683.9838,0.99343
3683.0194,0.99318
3682.055,0.99264
3681.0906,0.99264
3680.1262,0.99229
3679.1618,0.9918
3678.1974,0.99209
3677.233,0.99239
3676.2686,0.9912
3675.3042,0.98977
3674.3398,0.99056
3673.3754,0.99195
3672.4111,0.99076
3671.4466,0.98844
3670.4823,0.9874
3669.5179,0.98705
3668.5535,0.9872
3667.5891,0.98809
3666.6247,0.98938
3665.6603,0.99066
3664.6959,0.99051
3663.7315,0.98814
3662.7671,0.98547
3661.8027,0.98433
3660.8383,0.98354
3659.8739,0.98216
3658.9095,0.98157
3657.9451,0.98152
3656.9808,0.98083
3656.0163,0.98063
3655.052,0.98196
3654.0876,0.9827
3653.1232,0.98211
3652.1588,0.98142
3651.1944,0.98048
3650.23,0.97811
3649.2656,0.97544
3648.3012,0.97435
3647.3368,0.9747
3646.3724,0.975
3645.408,0.97455
3644.4436,0.97415
3643.4792,0.97475
3642.5148,0.97569
3641.5505,0.97514
3640.5861,0.97287
3639.6217,0.9702
3638.6573,0.96813
3637.6929,0.96738
3636.7285,0.96758
3635.7641,0.96778
3634.7997,0.96768
3633.8353,0.96719
3632.8709,0.9663
3631.9065,0.96526
3630.9421,0.96398
3629.9777,0.96239
3629.0133,0.96086
3628.0489,0.95987
3627.0845,0.95943
3626.1202,0.95908
3625.1558,0.95849
3624.1914,0.9575
3623.227,0.95666
3622.2626,0.95612
3621.2982,0.95503
3620.3338,0.95286
3619.3694,0.95048
3618.405,0.94861
3617.4406,0.94727
3616.4762,0.94688
3615.5118,0.94732
3614.5474,0.94698
3613.583,0.945
3612.6186,0.94292
3611.6543,0.94228
3610.6899,0.94233
3609.7255,0.94159
3608.7611,0.9405
3607.7967,0.94035
3606.8323,0.94075
3605.8679,0.94006
3604.9035,0.93759
3603.9391,0.93502
3602.9747,0.93442
3602.0103,0.93492
3601.0459,0.93477
3600.0815,0.93344
3599.1171,0.93185
3598.1527,0.93062
3597.1883,0.92869
3596.224,0.92686
3595.2596,0.92676
3594.2952,0.92676
3593.3308,0.92543
3592.3664,0.92415
3591.402,0.92335
3590.4376,0.92222
3589.4732,0.92083
3588.5088,0.91945
3587.5444,0.91802
3586.58,0.91658
3585.6156,0.91525
3584.6512,0.91426
3583.6868,0.91347
3582.7224,0.91322
3581.758,0.91313
3580.7937,0.91164
3579.8292,0.90996
3578.8649,0.90967
3577.9005,0.90932
3576.9361,0.90739
3575.9717,0.90571
3575.0073,0.90571
3574.0429,0.90571
3573.0785,0.90423
3572.1141,0.90215
3571.1497,0.90127
3570.1853,0.90072
3569.2209,0.89865
3568.2565,0.89558
3567.2921,0.89351
3566.3277,0.89227
3565.3634,0.89074
3564.399,0.88886
3563.4346,0.88768
3562.4702,0.88768
3561.5058,0.88787
3560.5414,0.88713
3559.577,0.8858
3558.6126,0.88446
3557.6482,0.88303
3556.6838,0.88125
3555.7194,0.87927
3554.755,0.87774
3553.7906,0.87661
3552.8262,0.87517
3551.8618,0.87389
3550.8974,0.87339
3549.9331,0.87354
3548.9687,0.87315
3548.0043,0.87068
3547.0399,0.86707
3546.0755,0.8646
3545.1111,0.86381
3544.1467,0.86361
3543.1823,0.86272
3542.2179,0.86134
3541.2535,0.86025
3540.2891,0.85951
3539.3247,0.85862
3538.3603,0.85709
3537.3959,0.85496
3536.4315,0.85244
3535.4671,0.85007
3534.5028,0.84854
3533.5384,0.84809
3532.574,0.84809
