Wavenumber,Transmission
cm^{-1},a.u.
3717.7375,0.98429
3716.7732,0.98664
3715.8088,0.9881
3714.8444,0.98872
3713.88,0.98859
3712.9156,0.98767
3711.9512,0.98591
3710.9868,0.98348
3710.0224,0.98063
3709.058,0.97776
3708.0936,0.97529
3707.1292,0.97346
3706.1648,0.97233
3705.2004,0.97179
3704.236,0.97144
3703.2716,0.97087
3702.3072,0.97008
3701.3429,0.96955
3700.3785,0.96978
3699.4141,0.97073
3698.4497,0.97207
3697.4853,0.97341
3696.5209,0.97446
3695.5565,0.97526
3694.5921,0.97609
3693.6277,0.97718
3692.6633,0.97866
3691.6989,0.98046
3690.7345,0.98226
3689.7701,0.98354
3688.8057,0.98419
3687.8413,0.98466
3686.877,0.98535
3685.9126,0.98604
3684.9482,0.98648
3683.9838,0.98669
3683.0194,0.98694
3682.055,0.98758
3681.0906,0.98874
3680.1262,0.99031
3679.1618,0.99204
3678.1974,0.99375
3677.233,0.99524
3676.2686,0.99641
3675.3042,0.99735
3674.3398,0.99793
3673.3754,0.99768
3672.411,0.99628
3671.4467,0.994
3670.4823,0.99169
3669.5179,0.99026
3668.5535,0.98999
3667.5891,0.99044
3666.6247,0.99088
3665.6603,0.99088
3664.6959,0.99034
3663.7315,0.98952
3662.7671,0.9888
3661.8027,0.98843
3660.8383,0.98838
3659.8739,0.98839
3658.9095,0.98824
3657.9451,0.98781
3656.9807,0.98719
3656.0164,0.98667
3655.052,0.9864
3654.0876,0.98633
3653.1232,0.98632
3652.1588,0.98632
3651.1944,0.9863
3650.23,0.98628
3649.2656,0.98606
3648.3012,0.9854
3647.3368,0.98428
3646.3724,0.98295
3645.408,0.98162
3644.4436,0.98029
3643.4792,0.97883
3642.5148,0.97733
3641.5504,0.97582
3640.5861,0.97416
3639.6217,0.97217
3638.6573,0.96999
3637.6929,0.96789
3636.7285,0.96599
3635.7641,0.96418
3634.7997,0.96225
3633.8353,0.96027
3632.8709,0.95846
3631.9065,0.95684
3630.9421,0.95514
3629.9777,0.95322
3629.0133,0.95131
3628.0489,0.94974
3627.0845,0.94865
3626.1202,0.94781
3625.1558,0.9471
3624.1914,0.94651
3623.227,0.94615
3622.2626,0.94618
3621.2982,0.94674
3620.3338,0.94775
3619.3694,0.94892
3618.405,0.95009
3617.4406,0.95129
3616.4762,0.95248
3615.5118,0.95347
3614.5474,0.95396
3613.583,0.9537
3612.6186,0.95256
3611.6542,0.95056
3610.6899,0.94776
3609.7255,0.94425
3608.7611,0.94034
3607.7967,0.93651
3606.8323,0.93317
3605.8679,0.93054
3604.9035,0.92856
3603.9391,0.92709
3602.9747,0.92593
3602.0103,0.92485
3601.0459,0.92372
3600.0815,0.92255
3599.1171,0.9215
3598.1527,0.92074
3597.1883,0.92033
3596.2239,0.92017
3595.2596,0.92012
3594.2952,0.92
3593.3308,0.91976
3592.3664,0.91954
3591.402,0.91954
3590.4376,0.91982
3589.4732,0.92017
3588.5088,0.92028
3587.5444,0.9199
3586.58,0.91895
3585.6156,0.91769
3584.6512,0.91647
3583.6868,0.91547
3582.7224,0.91457
3581.758,0.91358
3580.7936,0.91247
3579.8293,0.91136
3578.8649,0.91026
3577.9005,0.90915
3576.9361,0.90804
3575.9717,0.90703
3575.0073,0.90623
3574.0429,0.90568
3573.0785,0.90535
3572.1141,0.90503
3571.1497,0.90448
3570.1853,0.9035
3569.2209,0.90211
3568.2565,0.90053
3567.2921,0.89918
3566.3277,0.89829
3565.3634,0.89775
3564.399,0.89722
3563.4346,0.89639
3562.4702,0.89524
3561.5058,0.89394
3560.5414,0.89264
3559.577,0.89137
3558.6126,0.89016
3557.6482,0.88905
3556.6838,0.88814
3555.7194,0.88741
3554.755,0.88673
3553.7906,0.88598
3552.8262,0.88511
3551.8618,0.88407
3550.8974,0.8828
3549.9331,0.88128
3548.9687,0.87959
3548.0043,0.87792
3547.0399,0.87651
3546.0755,0.8755
3545.1111,0.8748
3544.1467,0.87418
3543.1823,0.87347
3542.2179,0.8726
3541.2535,0.87156
3540.2891,0.87041
3539.3247,0.86932
3538.3603,0.86846
3537.3959,0.86781
3536.4315,0.86712
3535.4671,0.86616
3534.5028,0.86489
3533.5384,0.86337
3532.574,0.86177
3531.6096,0.86016
3530.6452,0.85853
3529.6808,0.85697
3528.7164,0.85555
3527.752,0.85429
3526.7876,0.85311
3525.8232,0.85194
3524.8588,0.85075
3523.8944,0.84958
3522.93,0.8485
3521.9656,0.84757
3521.0012,0.84667
3520.0368,0.84558
3519.0725,0.84412
3518.1081,0.84237
3517.1437,0.84066
3516.1793,0.83937
3515.2149,0.83868
3514.2505,0.83839
3513.2861,0.83812
3512.3217,0.8376
3511.3573,0.83672
3510.3929,0.8355
3509.4285,0.83407
3508.4641,0.8326
3507.4997,0.83133
3506.5353,0.83039
3505.5709,0.82978
3504.6065,0.82934
3503.6422,0.82884
3502.6778,0.82812
3501.7134,0.82707
3500.749,0.82572
3499.7846,0.82424
3498.8202,0.82285
3497.8558,0.82167
3496.8914,0.82072
3495.927,0.81995
3494.9626,0.81918
3493.9982,0.81822
3493.0338,0.81698
3492.0694,0.81566
3491.105,0.8145
3490.1406,0.81356
3489.1763,0.81275
3488.2119,0.81187
3487.2475,0.81077
3486.2831,0.80943
3485.3187,0.80795
3484.3543,0.80645
3483.3899,0.80504
3482.4255,0.80375
3481.4611,0.80264
3480.4967,0.80173
3479.5323,0.80096
3478.5679,0.80023
3477.6035,0.79938
3476.6391,0.79829
3475.6747,0.797
3474.7103,0.79578
3473.746,0.79482
3472.7816,0.79403
3471.8172,0.79309
3470.8528,0.79187
3469.8884,0.79062
3468.924,0.78964
3467.9596,0.78901
3466.9952,0.78851
3466.0308,0.78793
3465.0664,0.78723
3464.102,0.78646
3463.1376,0.78565
3462.1732,0.78481
3461.2088,0.78392
3460.2444,0.78297
3459.28,0.78194
3458.3157,0.78082
3457.3513,0.77964
3456.3869,0.77841
3455.4225,0.77718
3454.4581,0.77603
3453.4937,0.77507
3452.5293,0.77432
3451.5649,0.77365
3450.6005,0.77295
3449.6361,0.77213
3448.6717,0.7712
3447.7073,0.77015
3446.7429,0.76896
3445.7785,0.76774
3444.8141,0.76664
3443.8497,0.76573
3442.8854,0.76493
3441.921,0.76417
3440.9566,0.76345
3439.9922,0.76289
3439.0278,0.76251
3438.0634,0.76222
3437.099,0.76183
3436.1346,0.76118
3435.1702,0.76025
3434.2058,0.75915
3433.2414,0.75807
3432.277,0.75709
3431.3126,0.75617
3430.3482,0.75523
3429.3838,0.75415
3428.4195,0.75291
3427.4551,0.75163
3426.4907,0.7505
3425.5263,0.74965
3424.5619,0.74908
3423.5975,0.74876
3422.6331,0.74861
3421.6687,0.74857
3420.7043,0.74852
3419.7399,0.74834
3418.7755,0.74798
3417.8111,0.7474
3416.8467,0.74663
3415.8823,0.74572
3414.9179,0.74474
3413.9535,0.74371
3412.9892,0.74271
3412.0248,0.74184
3411.0604,0.74123
3410.096,0.7409
3409.1316,0.74077
3408.1672,0.74069
3407.2028,0.74049
3406.2384,0.74004
3405.274,0.73928
3404.3096,0.73829
3403.3452,0.73715
3402.3808,0.73588
3401.4164,0.73461
3400.452,0.73357
3399.4876,0.73293
3398.5232,0.73254
3397.5589,0.73209
3396.5945,0.73141
3395.6301,0.7306
3394.6657,0.72977
3393.7013,0.72902
3392.7369,0.72832
3391.7725,0.72756
3390.8081,0.72664
3389.8437,0.72557
3388.8793,0.72454
3387.9149,0.72367
3386.9505,0.723
3385.9861,0.72256
3385.0217,0.72232
3384.0573,0.72214
3383.0929,0.72188
3382.1286,0.7215
3381.1642,0.72101
3380.1998,0.72045
3379.2354,0.71976
3378.271,0.71887
3377.3066,0.71779
3376.3422,0.71655
3375.3778,0.71534
3374.4134,0.71438
3373.449,0.71388
3372.4846,0.7139
3371.5202,0.71426
3370.5558,0.71459
3369.5914,0.71461
3368.627,0.71415
3367.6627,0.71326
3366.6983,0.71211
3365.7339,0.711
3364.7695,0.71017
3363.8051,0.70969
3362.8407,0.70947
3361.8763,0.70928
