Wavenumber,Transmission
cm^{-1},a.u.
3714.8444,0.99418
3713.88,0.99441
3712.9156,0.99575
3711.9512,0.99702
3710.9868,0.99633
3710.0224,0.99453
3709.058,0.9938
3708.0936,0.99411
3707.1292,0.99403
3706.1648,0.99338
3705.2004,0.99319
3704.236,0.99415
3703.2716,0.99556
3702.3072,0.99633
3701.3429,0.99606
3700.3785,0.99583
3699.4141,0.99568
3698.4497,0.9946
3697.4853,0.99342
3696.5209,0.99334
3695.5565,0.99376
3694.5921,0.99369
3693.6277,0.99346
3692.6633,0.99376
3691.6989,0.99464
3690.7345,0.99525
3689.7701,0.99453
3688.8057,0.99288
3687.8413,0.9925
3686.8769,0.99384
3685.9126,0.99468
3684.9482,0.99418
3683.9838,0.99376
3683.0194,0.99388
3682.055,0.99338
3681.0906,0.99216
3680.1262,0.99124
3679.1618,0.99108
3678.1974,0.99089
3677.233,0.99013
3676.2686,0.98944
3675.3042,0.98944
3674.3398,0.99039
3673.3754,0.99093
3672.4111,0.98974
3671.4466,0.98825
3670.4823,0.98829
3669.5179,0.98879
3668.5535,0.98883
3667.5891,0.98917
3666.6247,0.98944
3665.6603,0.98944
3664.6959,0.98925
3663.7315,0.98833
3662.7671,0.98691
3661.8027,0.9858
3660.8383,0.98508
3659.8739,0.98408
3658.9095,0.98282
3657.9451,0.98198
3656.9808,0.98205
3656.0163,0.98289
3655.052,0.98335
3654.0876,0.98266
3653.1232,0.98087
3652.1588,0.97872
3651.1944,0.97765
3650.23,0.97769
3649.2656,0.97777
3648.3012,0.97723
3647.3368,0.97658
3646.3724,0.97616
3645.408,0.97516
3644.4436,0.97329
3643.4792,0.97172
3642.5148,0.97107
3641.5505,0.97103
3640.5861,0.97111
3639.6217,0.97099
3638.6573,0.97004
3637.6929,0.96851
3636.7285,0.96717
3635.7641,0.96632
3634.7997,0.96583
3633.8353,0.9656
3632.8709,0.96522
3631.9065,0.96411
3630.9421,0.96238
3629.9777,0.96101
3629.0133,0.96055
3628.0489,0.96009
3627.0845,0.95905
3626.1202,0.95825
3625.1558,0.95775
3624.1914,0.95703
3623.227,0.95618
3622.2626,0.95515
3621.2982,0.95335
3620.3338,0.95136
3619.3694,0.95014
3618.405,0.94956
3617.4406,0.94937
3616.4762,0.94922
3615.5118,0.94868
3614.5474,0.94765
3613.583,0.94681
3612.6186,0.94616
3611.6543,0.94497
3610.6899,0.94329
3609.7255,0.94218
