Depth,Load
nm,\muN
171.5193,459.31066
171.9254,460.72226
172.2432,462.20589
172.5791,463.76588
172.9257,465.18399
173.1949,466.6422
173.8047,468.03009
173.9703,469.48273
174.4215,471.00559
174.8445,472.40804
175.117,473.82563
175.5331,475.23469
176.0067,476.62649
176.3345,478.25691
176.7703,479.66111
177.1583,481.08817
177.4783,482.5672
177.6249,484.02369
178.2154,485.493
178.4595,486.96037
178.6414,488.39622
179.2349,489.79701
179.4836,491.21998
179.8564,492.71041
180.3235,494.21993
180.6032,495.65343
180.9327,497.09539
181.3849,498.51218
181.6573,499.9455
182.0794,501.4567
182.3622,502.88075
182.7052,504.28575
183.1303,505.68049
183.5037,507.0971
183.8643,508.70876
184.0883,510.21781
184.6341,511.60339
184.8444,513.13869
185.0854,514.55094
185.5394,516.00777
185.7394,517.5559
186.1877,518.97152
186.7345,520.35579
187.1521,521.78255
187.4029,523.21398
187.5211,524.87046
187.9971,526.28932
188.3031,527.71394
188.5339,529.21076
188.8904,530.62229
189.2168,532.10155
189.8292,533.55791
190.0566,534.99341
190.5093,536.38049
190.7545,537.82792
190.8697,539.28077
191.4367,540.89614
191.7734,542.32169
192.134,543.71769
192.571,545.20357
192.8428,546.63166
193.1626,548.10038
193.4141,549.63066
193.6969,551.07622
194.1028,552.48227
194.4272,553.91101
194.822,555.32471
195.1274,556.92335
195.2998,558.40224
195.6918,559.79687
195.9579,561.28781
196.4431,562.68326
196.8817,564.09661
197.0586,565.64486
197.4186,567.06637
197.9181,568.43621
198.259,569.85829
198.4998,571.30992
198.792,572.85742
199.1161,574.40356
199.4972,575.79819
199.8044,577.26982
199.9988,578.7552
200.2739,580.18467
200.9152,581.69333
200.8882,583.19995
201.4293,584.57656
201.6124,586.06278
202.0317,587.46449
202.3267,588.91472
202.6931,590.51727
202.9945,591.94898
203.312,593.37478
203.7354,594.8329
204.1031,596.24958
204.172,597.74278
204.7242,599.23998
204.7448,600.70376
205.2911,602.0875
205.6448,603.49871
206.0343,604.9252
206.2382,606.47323
206.518,608.01827
206.8831,609.43258
207.191,610.88653
207.6579,612.31442
207.8561,613.76256
208.1997,615.274
208.5799,616.74453
208.779,618.2031
209.0626,619.60969
209.3945,621.05533
209.8509,622.45264
209.885,624.06814
210.402,625.51342
210.5219,626.96795
211.0033,628.40154
211.2498,629.84333
211.6025,631.27429
211.7888,632.81478
212.2482,634.2221
212.54,635.67058
212.8347,637.06572
213.1238,638.49719
213.472,639.92271
213.7392,641.6264
214.1714,643.07111
214.4703,644.49742
214.6754,646.03064
214.8892,647.49786
215.2259,648.89341
215.7157,650.45951
215.8935,651.91538
216.3066,653.34018
216.5892,654.79712
216.8659,656.22498
217.0698,657.68187
217.5315,659.28223
217.8853,660.7392
218.302,662.14695
218.4807,663.64669
218.787,665.09529
218.9519,666.54713
219.3955,668.0494
219.7777,669.52199
220.0764,670.94901
220.4578,672.35185
220.7815,673.79409
220.8518,675.26616
221.051,676.86322
221.4639,678.35668
221.9455,679.76886
222.0757,681.26546
222.3484,682.74194
222.6166,684.17891
223.1113,685.63537
223.4801,687.14146
223.6649,688.59546
223.9503,689.99309
224.2516,691.45717
224.5491,692.8812
224.9218,694.36035
225.2405,695.95121
225.6177,697.35842
225.9055,698.79798
226.1419,700.29888
226.4536,701.72296
226.6931,703.16044
227.1389,704.69863
227.3187,706.14337
227.4593,707.59288
227.7333,709.01908
228.2378,710.4123
228.3636,711.88363
228.7202,713.52446
228.995,715.00608
229.3715,716.42512
229.6218,717.91303
229.9273,719.37522
230.3798,720.79291
230.6696,722.30716
231.0477,723.81461
231.3467,725.25949
231.6886,726.67489
231.879,728.15698
232.2384,729.56644
232.3044,731.07957
232.6205,732.71002
233.0785,734.10263
233.4135,735.50547
233.4775,737.04237
233.8915,738.44875
234.2071,739.88952
234.2713,741.4595
234.6538,742.9198
235.1265,744.32097
235.1828,745.77267
235.6513,747.17934
236.0819,748.59621
236.2348,750.13286
236.6617,751.70934
237.0478,753.11541
237.3584,754.54599
237.3715,756.10124
237.7205,757.53009
238.1557,758.92999
238.4019,760.52905
238.6932,761.9733
238.9104,763.42383
239.365,764.81849
239.5946,766.26442
239.7628,767.72723
240.0808,769.24037
240.2832,770.83289
240.7006,772.235
240.9684,773.68145
241.1835,775.16953
241.3939,776.61538
241.7343,778.02881
241.9998,779.58087
242.3215,781.02478
242.6943,782.45747
242.9399,783.83864
243.2428,785.27036
243.6019,786.69831
243.9126,788.21148
243.9182,789.91394
244.25,791.33892
244.6923,792.72855
245.0386,794.28185
245.1417,795.73165
245.5866,797.15011
245.739,798.72563
246.0689,800.212
246.2443,801.67613
246.6369,803.08957
247.023,804.55011
247.1629,805.99444
247.4752,807.43319
247.7688,809.12042
248.0138,810.55054
248.3737,811.98414
248.5635,813.45987
248.7114,814.93718
249.0462,816.37429
249.4772,817.82928
249.7478,819.38068
250.117,820.78506
250.2749,822.23444
250.641,823.65663
250.7752,825.12327
251.0619,826.56327
251.0677,828.19458
251.5253,829.69695
252.0684,831.11227
252.1443,832.57554
252.6108,834.0588
252.7845,835.51728
253.0128,836.93769
253.3387,838.51072
253.6642,839.96428
253.8437,841.43184
254.1651,842.84534
254.5458,844.28886
254.8227,845.73497
254.9994,847.18889
255.2514,848.85176
255.513,850.29323
255.7901,851.72579
256.0953,853.17756
256.3418,854.64457
256.6439,856.08772
256.8209,857.55346
257.3675,859.06346
257.597,860.51133
257.7371,861.96303
258.0168,863.37848
258.2984,864.8269
258.5787,866.26345
258.7456,867.82059
259.0688,869.43671
259.3913,870.85738
259.5325,872.30052
259.8554,873.83373
260.377,875.23634
260.4474,876.72185
260.7386,878.21256
261.0056,879.78035
261.2289,881.22763
261.5415,882.63706
261.7919,884.12226
262.095,885.54525
262.4553,886.96984
262.5273,888.55818
262.8234,890.11414
263.0156,891.57675
263.4361,892.96509
263.7221,894.47704
264.0276,895.91087
264.1904,897.34258
264.4637,898.84814
264.7713,900.36341
264.9458,901.82195
265.4171,903.20318
265.6146,904.66321
265.8278,906.09732
266.0995,907.55036
266.4688,909.09443
266.7454,910.67279
266.974,912.11804
267.2351,913.53766
267.4027,915.08755
267.6154,916.52288
267.9238,917.9718
268.3328,919.43449
268.7196,920.98723
268.7818,922.43594
269.0818,923.87849
269.3361,925.30425
269.7813,926.74938
269.904,928.2018
270.2459,929.70536
270.4104,931.30923
270.4617,932.79573
270.6954,934.23197
271.1511,935.67497
271.3895,937.11506
271.6552,938.58807
271.9555,940.01304
272.175,941.59238
272.3266,943.03765
272.5591,944.50058
273.1521,945.84392
273.2569,947.31216
273.6173,948.73931
273.702,950.21455
273.8151,952.00805
274.316,953.39422
274.6285,954.86103
274.8895,956.31035
274.9482,957.88193
275.2075,959.3062
275.4584,960.74834
275.7215,962.3306
276.0481,963.79565
276.1774,965.27481
276.591,966.66519
276.7751,968.16927
277.0498,969.60459
277.385,971.03296
277.5272,972.63762
277.9412,974.19157
278.2,975.62162
278.323,977.07704
278.602,978.58439
278.9177,980.04201
279.3496,981.45422
279.4266,982.94675
279.7874,984.53305
279.8716,985.97388
280.1872,987.4225
280.4713,988.846
280.7773,990.29526
280.9664,991.73828
281.207,993.18276
281.693,994.85512
281.8038,996.36361
282.0067,997.82145
282.4785,999.2234
282.7858,1000.7662
282.9619,1002.1977
283.2093,1003.6486
283.3772,1005.21
283.7398,1006.736
283.9532,1008.1821
284.1857,1009.6248
284.3935,1011.0743
284.6958,1012.5196
284.8225,1014.0067
285.1714,1015.4566
285.3734,1017.1344
285.7263,1018.5649
285.873,1020.0203
286.0645,1021.4666
286.396,1022.968
286.7441,1024.3849
286.9182,1025.8313
287.2345,1027.3722
287.3183,1028.9005
287.7787,1030.3153
287.9374,1031.7521
288.1396,1033.201
288.4292,1034.6162
288.6172,1036.074
288.8453,1037.5626
289.1415,1039.2741
289.3797,1040.7155
289.5472,1042.1755
290.0312,1043.5983
290.126,1045.1668
290.4508,1046.5927
290.7721,1048.0201
290.9024,1049.6161
291.1078,1051.1559
291.4957,1052.5746
291.6015,1054.0223
291.8505,1055.4943
292.0239,1056.9696
292.3031,1058.4112
292.5678,1059.8696
292.935,1061.5442
293.0521,1063.0006
293.4562,1064.4447
293.6331,1065.8899
293.7809,1067.4204
294.0801,1068.8477
294.3777,1070.2955
294.5718,1071.8319
294.857,1073.3591
295.2036,1074.7801
295.3242,1076.2355
295.6208,1077.6631
295.8593,1079.1193
296.1724,1080.5427
296.4478,1081.9731
296.6509,1083.6888
296.9537,1085.1513
297.0865,1086.642
297.3891,1088.0519
297.6342,1089.5988
297.9242,1091.0267
298.2365,1092.4733
298.4592,1093.9529
298.559,1095.5796
298.9423,1097.0002
299.0786,1098.4741
299.2875,1099.9012
299.4699,1101.3915
299.7704,1102.8194
299.8855,1104.3081
300.2276,1105.8612
300.5532,1107.4377
300.7898,1108.8811
300.9337,1110.3365
301.2132,1111.8046
301.5323,1113.2717
301.8563,1114.7038
301.9609,1116.1371
302.1893,1117.7106
302.5247,1119.1785
302.6662,1120.6342
302.7328,1122.0834
303.1467,1123.4769
303.2928,1124.9273
303.628,1126.3645
303.7795,1127.8037
304.1075,1129.616
304.1866,1131.0795
304.5998,1132.5118
304.8787,1133.9261
305.0076,1135.5199
305.1385,1136.989
305.5183,1138.4282
305.75,1139.8797
306.0802,1141.5204
