X,Y,I,In
0.53,8.1909,3,0.016304347826087
0.53,8.20605,5,0.0271739130434783
0.53,8.2212,1,0.00543478260869565
0.53,8.23635,7,0.0380434782608696
0.53,8.2515,3,0.016304347826087
0.53,8.26665,9,0.0489130434782609
0.53,8.2818,9,0.0489130434782609
0.53,8.29695,4,0.0217391304347826
0.53,8.3121,6,0.0326086956521739
0.53,8.32725,10,0.0543478260869565
0.53,8.3424,4,0.0217391304347826
0.53,8.3576,9,0.0489130434782609
0.53,8.37275,7,0.0380434782608696
0.53,8.3879,5,0.0271739130434783
0.53,8.40305,5,0.0271739130434783
0.53,8.4182,3,0.016304347826087
0.53,8.43335,7,0.0380434782608696
0.53,8.4485,8,0.0434782608695652
0.53,8.46365,3,0.016304347826087
0.53,8.4788,7,0.0380434782608696
0.53,8.49395,6,0.0326086956521739
0.53,8.5091,4,0.0217391304347826
0.53,8.52425,4,0.0217391304347826
0.53,8.5394,5,0.0271739130434783
0.53,8.55455,6,0.0326086956521739
0.53,8.5697,3,0.016304347826087
0.53,8.58485,10,0.0543478260869565
0.53,8.6,5,0.0271739130434783
0.53,8.61515,10,0.0543478260869565
0.53,8.6303,4,0.0217391304347826
0.53,8.64545,7,0.0380434782608696
0.53,8.6606,9,0.0489130434782609
0.53,8.67575,7,0.0380434782608696
0.53,8.6909,4,0.0217391304347826
0.53,8.70605,10,0.0543478260869565
0.53,8.7212,5,0.0271739130434783
0.53,8.73635,5,0.0271739130434783
0.53,8.7515,5,0.0271739130434783
0.53,8.76665,7,0.0380434782608696
0.53,8.7818,6,0.0326086956521739
0.53,8.79695,4,0.0217391304347826
0.53,8.8121,7,0.0380434782608696
0.53,8.82725,2,0.0108695652173913
0.53,8.8424,5,0.0271739130434783
0.53,8.8576,13,0.0706521739130435
0.53,8.87275,8,0.0434782608695652
0.53,8.8879,14,0.0760869565217391
0.53,8.90305,12,0.0652173913043478
0.53,8.9182,18,0.0978260869565217
0.53,8.93335,21,0.114130434782609
0.53,8.9485,13,0.0706521739130435
0.53,8.96365,10,0.0543478260869565
0.53,8.9788,12,0.0652173913043478
0.53,8.99395,6,0.0326086956521739
0.53,9.0091,7,0.0380434782608696
0.53,9.02425,2,0.0108695652173913
0.53,9.0394,16,0.0869565217391304
0.53,9.05455,8,0.0434782608695652
0.53,9.0697,10,0.0543478260869565
0.53,9.08485,16,0.0869565217391304
0.53,9.1,16,0.0869565217391304
0.545,8.1,7,0.0380434782608696
0.545,8.11515,6,0.0326086956521739
0.545,8.1303,5,0.0271739130434783
0.545,8.14545,7,0.0380434782608696
0.545,8.1606,5,0.0271739130434783
0.545,8.17575,3,0.016304347826087
0.545,8.1909,5,0.0271739130434783
0.545,8.20605,4,0.0217391304347826
0.545,8.2212,3,0.016304347826087
0.545,8.23635,8,0.0434782608695652
0.545,8.2515,8,0.0434782608695652
0.545,8.26665,11,0.0597826086956522
0.545,8.2818,5,0.0271739130434783
0.545,8.29695,8,0.0434782608695652
0.545,8.3121,1,0.00543478260869565
0.545,8.32725,8,0.0434782608695652
0.545,8.3424,5,0.0271739130434783
0.545,8.3576,7,0.0380434782608696
0.545,8.37275,3,0.016304347826087
0.545,8.3879,8,0.0434782608695652
0.545,8.40305,7,0.0380434782608696
0.545,8.4182,10,0.0543478260869565
0.545,8.43335,10,0.0543478260869565
0.545,8.4485,11,0.0597826086956522
0.545,8.46365,7,0.0380434782608696
0.545,8.4788,7,0.0380434782608696
0.545,8.49395,8,0.0434782608695652
0.545,8.5091,10,0.0543478260869565
0.545,8.52425,8,0.0434782608695652
0.545,8.5394,5,0.0271739130434783
0.545,8.55455,2,0.0108695652173913
0.545,8.5697,8,0.0434782608695652
0.545,8.58485,9,0.0489130434782609
0.545,8.6,9,0.0489130434782609
0.545,8.61515,6,0.0326086956521739
0.545,8.6303,8,0.0434782608695652
0.545,8.64545,9,0.0489130434782609
0.545,8.6606,9,0.0489130434782609
0.545,8.67575,6,0.0326086956521739
0.545,8.6909,8,0.0434782608695652
0.545,8.70605,8,0.0434782608695652
0.545,8.7212,8,0.0434782608695652
