Velocity,NormIntensity
mm/s,a.u.
-2.2674,0.99659
-2.2553,0.99654
-2.2431,0.99649
-2.231,0.99645
-2.2189,0.9964
-2.2067,0.99635
-2.1946,0.99629
-2.1825,0.99624
-2.1704,0.99619
-2.1582,0.99613
-2.1461,0.99608
-2.134,0.99602
-2.1219,0.99596
-2.1098,0.99591
-2.0976,0.99585
-2.0855,0.99578
-2.0734,0.99572
-2.0612,0.99566
-2.0491,0.99559
-2.037,0.99553
-2.0249,0.99546
-2.0128,0.99539
-2.0006,0.99532
-1.9885,0.99525
-1.9764,0.99517
-1.9643,0.9951
-1.9521,0.99502
-1.94,0.99494
-1.9279,0.99486
-1.9158,0.99478
-1.9036,0.99469
-1.8915,0.99461
-1.8794,0.99452
-1.8673,0.99443
-1.8551,0.99434
-1.843,0.99424
-1.8309,0.99414
-1.8188,0.99404
-1.8066,0.99394
-1.7945,0.99384
-1.7824,0.99373
-1.7703,0.99362
-1.7581,0.9935
-1.746,0.99339
-1.7339,0.99327
-1.7217,0.99315
-1.7096,0.99302
-1.6975,0.99289
-1.6854,0.99276
-1.6732,0.99262
-1.6611,0.99248
-1.649,0.99234
-1.6369,0.99219
-1.6247,0.99203
-1.6126,0.99187
-1.6005,0.99171
-1.5884,0.99154
-1.5762,0.99137
-1.5641,0.99119
-1.552,0.99101
-1.5399,0.99082
-1.5277,0.99062
-1.5156,0.99041
-1.5035,0.9902
-1.4914,0.98998
-1.4792,0.98976
-1.4671,0.98952
-1.455,0.98928
-1.4429,0.98903
-1.4307,0.98876
-1.4186,0.98849
-1.4065,0.98821
-1.3944,0.98791
-1.3822,0.9876
-1.3701,0.98728
-1.358,0.98695
-1.3459,0.98659
-1.3337,0.98622
-1.3216,0.98584
-1.3095,0.98543
-1.2974,0.985
-1.2853,0.98455
-1.2731,0.98408
-1.261,0.98357
-1.2489,0.98304
-1.2368,0.98247
-1.2246,0.98187
-1.2125,0.98123
-1.2004,0.98054
-1.1883,0.9798
-1.1761,0.97901
-1.164,0.97816
-1.1519,0.97724
-1.1398,0.97624
-1.1276,0.97516
-1.1155,0.97398
-1.1034,0.9727
-1.0913,0.97129
-1.0791,0.96976
-1.067,0.96808
-1.0549,0.96623
-1.0428,0.9642
-1.0306,0.96197
-1.0185,0.9595
-1.0064,0.95679
-0.99425,0.9538
-0.98213,0.9505
-0.97,0.94686
-0.95788,0.94285
-0.94575,0.93844
-0.93363,0.93358
-0.9215,0.92823
-0.90938,0.92237
-0.89725,0.91593
-0.88513,0.90889
-0.873,0.9012
-0.86087,0.89282
-0.84875,0.88369
-0.83662,0.87379
-0.8245,0.86308
-0.81237,0.85151
-0.80025,0.83905
-0.78812,0.82568
-0.776,0.81138
-0.76387,0.79612
-0.75175,0.7799
-0.73962,0.76272
-0.7275,0.74459
-0.71537,0.72551
-0.70325,0.70553
-0.69112,0.68467
-0.679,0.66298
-0.66687,0.64054
-0.65475,0.6174
-0.64263,0.59366
-0.6305,0.5694
-0.61838,0.54473
-0.60625,0.51976
-0.59413,0.49462
-0.582,0.46943
-0.56988,0.44433
-0.55775,0.41947
-0.54563,0.39499
-0.5335,0.37104
-0.52138,0.34775
-0.50925,0.32529
-0.49712,0.3038
-0.485,0.28341
-0.47287,0.26426
-0.46075,0.24648
-0.44862,0.23018
-0.4365,0.21548
-0.42438,0.20246
-0.41225,0.19121
-0.40013,0.18181
-0.388,0.1743
-0.37588,0.16874
-0.36375,0.16514
-0.35163,0.16351
-0.3395,0.16385
-0.32738,0.16613
-0.31525,0.17032
-0.30312,0.17635
-0.291,0.18416
-0.27887,0.19365
-0.26675,0.20471
-0.25462,0.21723
-0.2425,0.23108
-0.23037,0.2461
-0.21825,0.26214
-0.20613,0.27903
-0.194,0.29659
-0.18188,0.31463
-0.16975,0.33297
-0.15762,0.3514
-0.1455,0.36973
-0.13337,0.38776
-0.12125,0.40528
-0.10912,0.42211
-0.097,0.43805
-0.084875,0.45293
-0.07275,0.46656
-0.060625,0.47879
-0.0485,0.48947
-0.036375,0.49846
-0.02425,0.50565
-0.012125,0.51092
0,0.51421
0.012125,0.51543
0.02425,0.51456
0.036375,0.51156
0.0485,0.50643
0.060625,0.49919
0.07275,0.48989
0.084875,0.47859
0.097,0.46536
0.10912,0.45031
0.12125,0.43356
0.13337,0.41524
0.1455,0.39552
0.15762,0.37456
0.16975,0.35255
0.18188,0.32967
0.194,0.30614
0.20613,0.28215
0.21825,0.25792
0.23037,0.23368
0.2425,0.20963
0.25462,0.186
0.26675,0.16299
0.27887,0.14081
0.291,0.11966
0.30312,0.099733
0.31525,0.081203
0.32738,0.064239
0.3395,0.048993
0.35163,0.035605
0.36375,0.024198
0.37588,0.014878
0.388,0.0077354
0.40013,0.0028416
0.41225,0.00025077
0.42438,0
0.4365,0.0021068
0.44862,0.0065711
0.46075,0.013374
0.47287,0.022481
0.485,0.033838
0.49712,0.047376
0.50925,0.063008
0.52138,0.080635
0.5335,0.10014
0.54563,0.1214
0.55775,0.14427
0.56988,0.16861
0.582,0.19425
0.59413,0.22103
0.60625,0.24879
0.61838,0.27734
0.6305,0.30652
0.64263,0.33615
0.65475,0.36606
0.66687,0.39608
0.679,0.42606
0.69112,0.45582
0.70325,0.48524
0.71537,0.51418
0.7275,0.54251
0.73962,0.57012
0.75175,0.59691
0.76387,0.6228
0.776,0.64771
0.78812,0.67159
0.80025,0.69439
0.81237,0.71608
0.8245,0.73664
0.83662,0.75605
0.84875,0.77431
0.86087,0.79145
0.873,0.80747
0.88513,0.82241
0.89725,0.83629
0.90938,0.84915
0.9215,0.86105
0.93363,0.87201
0.94575,0.88209
0.95788,0.89135
0.97,0.89983
0.98213,0.90757
0.99425,0.91465
1.0064,0.92109
1.0185,0.92695
1.0306,0.93228
1.0428,0.93712
1.0549,0.94152
1.067,0.9455
1.0791,0.94912
1.0913,0.9524
1.1034,0.95537
1.1155,0.95807
1.1276,0.96052
1.1398,0.96275
1.1519,0.96478
1.164,0.96663
1.1761,0.96832
1.1883,0.96987
1.2004,0.97128
1.2125,0.97258
1.2246,0.97378
1.2368,0.97489
1.2489,0.97591
1.261,0.97686
1.2731,0.97773
1.2853,0.97855
1.2974,0.97932
1.3095,0.98003
1.3216,0.98071
1.3337,0.98134
1.3459,0.98193
1.358,0.98249
1.3701,0.98302
1.3822,0.98353
1.3944,0.984
1.4065,0.98446
1.4186,0.98489
1.4307,0.9853
1.4429,0.98569
1.455,0.98607
1.4671,0.98643
1.4792,0.98677
1.4914,0.9871
1.5035,0.98742
1.5156,0.98772
1.5277,0.98802
1.5399,0.9883
1.552,0.98857
1.5641,0.98883
1.5762,0.98908
1.5884,0.98932
1.6005,0.98956
1.6126,0.98979
1.6247,0.99
1.6369,0.99022
1.649,0.99042
1.6611,0.99062
1.6732,0.99081
1.6854,0.991
1.6975,0.99118
1.7096,0.99136
1.7217,0.99153
1.7339,0.99169
1.746,0.99185
1.7581,0.99201
1.7703,0.99216
1.7824,0.9923
1.7945,0.99245
1.8066,0.99259
1.8188,0.99272
1.8309,0.99285
1.843,0.99298
1.8551,0.99311
1.8673,0.99323
1.8794,0.99335
1.8915,0.99346
1.9036,0.99357
1.9158,0.99368
1.9279,0.99379
1.94,0.9939
1.9521,0.994
1.9643,0.9941
1.9764,0.99419
1.9885,0.99429
2.0006,0.99438
2.0128,0.99447
2.0249,0.99456
2.037,0.99465
2.0491,0.99473
2.0612,0.99481
2.0734,0.9949
2.0855,0.99497
2.0976,0.99505
2.1098,0.99513
2.1219,0.9952
2.134,0.99527
2.1461,0.99534
2.1582,0.99541
2.1704,0.99548
2.1825,0.99555
2.1946,0.99561
2.2067,0.99568
2.2189,0.99574
2.231,0.9958
2.2431,0.99586
2.2553,0.99592
2.2674,0.99598
2.2795,0.99604
2.2916,0.99609
2.3037,0.99615
2.3159,0.9962
2.328,0.99625
2.3401,0.9963
2.3523,0.99636
2.3644,0.9964
2.3765,0.99645
2.3886,0.9965
2.4007,0.99655
2.4129,0.9966
2.425,0.99664
2.4371,0.99669
2.4493,0.99673
2.4614,0.99677
2.4735,0.99681
2.4856,0.99686
2.4977,0.9969
2.5099,0.99694
2.522,0.99698
2.5341,0.99702
2.5463,0.99705
2.5584,0.99709
2.5705,0.99713
2.5826,0.99717
2.5947,0.9972
2.6069,0.99724
2.619,0.99727
2.6311,0.9973
2.6433,0.99734
2.6554,0.99737
2.6675,0.9974
2.6796,0.99744
2.6917,0.99747
2.7039,0.9975
2.716,0.99753
2.7281,0.99756
2.7403,0.99759
2.7524,0.99762
2.7645,0.99765
2.7766,0.99768
2.7887,0.9977
2.8009,0.99773
2.813,0.99776
2.8251,0.99778
2.8373,0.99781
2.8494,0.99784
2.8615,0.99786
2.8736,0.99789
2.8857,0.99791
2.8979,0.99794
2.91,0.99796
2.9221,0.99799
2.9343,0.99801
2.9464,0.99803
2.9585,0.99805
2.9706,0.99808
2.9827,0.9981
2.9949,0.99812
3.007,0.99814
3.0191,0.99816
3.0312,0.99819
3.0434,0.99821
3.0555,0.99823
3.0676,0.99825
3.0798,0.99827
3.0919,0.99829
3.104,0.99831
3.1161,0.99832
3.1282,0.99834
3.1404,0.99836
3.1525,0.99838
3.1646,0.9984
3.1768,0.99842
3.1889,0.99843
3.201,0.99845
3.2131,0.99847
3.2252,0.99849
3.2374,0.9985
3.2495,0.99852
3.2616,0.99854
