Twotheta,NormalizedIntensity
degrees,a.u.
20.5523,0.50033
20.5778,0.50232
20.6032,0.5018
20.6288,0.50306
20.6543,0.5043
20.6797,0.50585
20.7052,0.5074
20.7308,0.5091
20.7563,0.51039
20.7817,0.51512
20.8072,0.51722
20.8328,0.52538
20.8583,0.5334
20.8837,0.54026
20.9093,0.55455
20.9348,0.5653
20.9602,0.58491
20.9857,0.60583
21.0113,0.62516
21.0368,0.64855
21.0622,0.67285
21.0877,0.69626
21.1133,0.71724
21.1388,0.73025
21.1642,0.74141
21.1898,0.74638
21.2153,0.73826
21.2407,0.73218
21.2662,0.71666
21.2918,0.69461
21.3173,0.67772
21.3427,0.64766
21.3682,0.63149
21.3938,0.60819
21.4193,0.58271
21.4447,0.56768
21.4703,0.54874
21.4958,0.53088
21.5212,0.51868
21.5467,0.50394
21.5723,0.49092
21.5978,0.48228
21.6232,0.47357
21.6487,0.46757
21.6743,0.4613
21.6998,0.45443
21.7252,0.45201
21.7508,0.44636
21.7763,0.44098
21.8017,0.43947
21.8272,0.43423
21.8528,0.43205
21.8783,0.43187
21.9037,0.42764
21.9292,0.42672
21.9548,0.42446
21.9803,0.41938
22.0057,0.42088
22.0312,0.41624
22.0568,0.4137
22.0822,0.41282
22.1077,0.41229
22.1333,0.41077
22.1588,0.4074
22.1842,0.40777
22.2097,0.40488
22.2353,0.40274
22.2608,0.40132
22.2862,0.39863
22.3117,0.39925
22.3373,0.39541
22.3627,0.39678
22.3882,0.39434
22.4138,0.38963
22.4393,0.39036
22.4647,0.38967
22.4902,0.38347
22.5158,0.38348
22.5413,0.38247
22.5667,0.37921
22.5922,0.38057
22.6178,0.37963
22.6432,0.37752
22.6687,0.37688
22.6943,0.37448
22.7198,0.37047
22.7452,0.37106
22.7707,0.36978
22.7963,0.36798
22.8218,0.36831
22.8472,0.36609
22.8727,0.36277
22.8983,0.36241
22.9237,0.36098
22.9492,0.35935
22.9748,0.35774
23.0003,0.35707
23.0257,0.3551
23.0512,0.3548
23.0768,0.35552
23.1023,0.35236
23.1277,0.3523
23.1532,0.35133
23.1788,0.34788
23.2042,0.3495
23.2297,0.34945
23.2553,0.3469
23.2808,0.34522
23.3062,0.34525
23.3317,0.34072
23.3573,0.33891
23.3828,0.33879
23.4082,0.33538
23.4337,0.33585
23.4593,0.33431
23.4847,0.33256
23.5102,0.33335
23.5358,0.333
23.5613,0.32731
23.5867,0.32238
23.6122,0.32338
23.6378,0.31871
23.6633,0.31608
23.6887,0.31427
23.7142,0.3115
23.7398,0.30818
23.7653,0.30798
23.7907,0.30603
23.8163,0.30188
23.8418,0.30211
23.8672,0.29786
23.8927,0.29472
23.9183,0.29433
23.9438,0.29139
23.9692,0.2884
23.9947,0.28595
24.0203,0.28466
24.0458,0.28284
24.0712,0.27836
24.0968,0.27826
24.1223,0.27756
24.1477,0.27229
24.1732,0.27123
24.1988,0.27123
24.2243,0.2687
24.2497,0.26549
24.2752,0.26569
24.3008,0.26472
24.3263,0.26215
24.3517,0.26059
24.3773,0.25956
24.4028,0.2534
24.4282,0.25141
24.4537,0.25277
24.4793,0.25097
24.5048,0.24665
24.5302,0.24699
24.5557,0.24605
24.5813,0.24088
24.6068,0.24269
24.6322,0.24049
24.6578,0.24112
24.6833,0.2374
24.7087,0.23747
24.7342,0.23547
24.7598,0.23023
24.7853,0.23023
24.8107,0.2297
24.8362,0.22808
24.8618,0.22621
24.8873,0.22583
24.9127,0.22509
24.9383,0.22215
24.9638,0.22201
24.9892,0.22154
25.0147,0.22109
25.0403,0.21711
25.0658,0.21887
25.0912,0.21987
25.1167,0.21366
25.1423,0.21292
25.1678,0.21207
25.1932,0.21404
25.2188,0.21077
25.2443,0.21108
25.2697,0.21088
25.2952,0.20861
25.3208,0.20362
25.3463,0.20696
25.3717,0.20696
25.3972,0.20385
25.4228,0.20259
25.4483,0.20504
25.4737,0.20495
25.4992,0.20003
25.5248,0.20063
25.5502,0.20141
25.5757,0.20306
25.6013,0.1991
25.6268,0.19953
25.6522,0.1978
25.6777,0.19695
25.7033,0.19341
25.7288,0.1926
25.7542,0.19469
25.7797,0.19162
25.8053,0.18992
25.8307,0.18972
25.8562,0.18992
25.8818,0.18695
25.9073,0.18487
25.9327,0.18472
25.9582,0.18437
25.9838,0.18257
26.0093,0.1797
26.0347,0.17963
26.0602,0.1756
26.0858,0.17436
26.1112,0.16965
26.1367,0.17055
26.1623,0.16904
26.1878,0.16784
26.2132,0.16174
26.2387,0.16032
26.2643,0.15802
26.2898,0.15896
26.3152,0.15321
26.3407,0.15509
26.3663,0.1529
26.3917,0.15194
26.4172,0.14286
26.4428,0.14377
26.4683,0.1439
26.4937,0.14327
26.5192,0.13811
26.5448,0.13679
26.5703,0.13842
26.5957,0.13784
26.6212,0.13394
26.6468,0.13001
26.6722,0.13005
26.6977,0.1297
26.7233,0.12775
26.7488,0.12263
26.7742,0.12382
26.7997,0.12595
26.8253,0.12458
26.8508,0.11999
26.8762,0.11723
26.9017,0.11895
26.9273,0.11788
26.9528,0.11897
26.9782,0.11125
27.0038,0.11357
27.0293,0.11219
27.0547,0.11162
27.0802,0.11082
27.1058,0.10621
27.1313,0.11106
27.1567,0.10888
27.1822,0.10986
27.2078,0.10617
27.2333,0.10567
27.2587,0.1071
27.2843,0.10374
27.3098,0.10404
27.3352,0.10101
27.3607,0.10431
27.3863,0.10301
27.4118,0.099723
27.4372,0.099918
27.4627,0.096577
27.4883,0.10067
27.5138,0.10047
27.5392,0.10188
27.5648,0.10128
27.5903,0.096366
27.6157,0.10215
27.6412,0.10308
27.6668,0.10553
27.6923,0.10541
27.7177,0.10528
27.7432,0.11146
27.7688,0.11688
27.7943,0.12051
27.8197,0.12367
27.8453,0.12302
27.8708,0.12955
27.8962,0.13216
27.9217,0.13356
27.9473,0.13376
27.9728,0.12993
27.9982,0.12623
28.0237,0.12427
28.0493,0.1178
28.0748,0.11307
28.1002,0.10883
28.1258,0.10053
28.1513,0.096807
28.1767,0.096899
28.2022,0.09303
28.2278,0.088307
28.2533,0.079972
28.2787,0.080856
28.3042,0.081363
28.3298,0.079272
28.3553,0.077446
28.3807,0.078448
28.4062,0.071004
28.4318,0.067487
28.4572,0.069255
28.4827,0.068828
28.5083,0.066447
28.5338,0.064646
28.5592,0.056643
28.5847,0.057751
28.6103,0.058354
28.6358,0.053982
28.6612,0.054854
28.6867,0.051176
28.7123,0.047441
28.7377,0.050589
28.7632,0.050895
28.7888,0.048303
28.8143,0.048057
28.8397,0.047667
28.8652,0.042661
28.8908,0.040099
28.9163,0.039826
28.9417,0.039708
28.9672,0.038696
28.9928,0.038535
29.0182,0.033112
29.0437,0.026068
29.0693,0.030467
29.0948,0.026441
29.1202,0.026367
29.1457,0.026532
29.1713,0.028649
29.1968,0.020633
29.2222,0.016024
29.2477,0.018185
29.2733,0.017474
29.2987,0.017375
29.3242,0.015069
29.3498,0.014328
29.3753,0.011473
29.4007,0.0058456
29.4262,0.010918
29.4518,0.0076548
29.4773,0.01102
29.5027,0.0095296
29.5282,0.0086624
29.5538,0.010671
29.5792,0.0056676
29.6047,0.00042962
29.6303,0.0077935
29.6558,0.005986
29.6812,0.0031182
29.7067,0.0060163
29.7323,0.0067311
29.7578,0.0069673
29.7832,0.0037271
29.8087,0
29.8343,0.0063416
29.8597,0.004181
29.8852,0.0028316
29.9108,0.004108
29.9363,0.0068472
29.9617,0.010384
29.9872,0.0041139
