Er,H,X,Y
GPa,GPa,mm,mm
6.5191,0.26732,-61.133,-10.896
8.75591,0.41581,-61.108,-10.896
8.29932,0.43509,-61.083,-10.896
8.31631,0.49256,-61.058,-10.896
0.81024,0.014735,-61.033,-10.896
2.23066,0.051716,-61.008,-10.896
2.36909,0.10309,-60.983,-10.896
4.85102,0.302,-61.333,-10.871
4.57453,0.26922,-61.308,-10.871
5.29614,0.26886,-61.283,-10.871
11.7807,0.65058,-61.258,-10.871
10.2843,0.51716,-61.233,-10.871
8.23666,0.43542,-61.208,-10.871
4.53636,0.30129,-61.1825,-10.871
4.27051,0.24683,-61.158,-10.871
4.33331,0.25456,-61.133,-10.871
5.13738,0.31209,-61.108,-10.871
7.25269,0.35864,-61.083,-10.871
9.63193,0.6066,-61.058,-10.871
2.67257,0.14984,-61.033,-10.871
4.32766,0.25945,-61.008,-10.871
4.46116,0.26039,-60.983,-10.871
3.73383,0.28328,-61.333,-10.846
5.20117,0.29923,-61.308,-10.846
4.77482,0.26813,-61.283,-10.846
12.3144,0.79365,-61.258,-10.846
10.3678,0.53825,-61.233,-10.846
0.958119,0.013865,-61.208,-10.846
4.75668,0.27792,-61.183,-10.846
4.6895,0.30336,-61.158,-10.846
3.86195,0.19858,-61.133,-10.846
7.89215,0.38572,-61.108,-10.846
8.85193,0.47132,-61.083,-10.846
9.00134,0.49933,-61.058,-10.846
6.94169,0.50095,-61.033,-10.846
5.09991,0.30103,-61.008,-10.846
7.81712,0.43301,-60.983,-10.846
4.82212,0.27398,-61.333,-10.821
4.74433,0.27471,-61.308,-10.821
4.52294,0.23945,-61.283,-10.821
12.1013,0.65388,-61.258,-10.821
7.78501,0.31899,-61.233,-10.821
8.97802,0.43164,-61.208,-10.821
7.10134,0.29015,-61.183,-10.821
8.06343,0.36066,-61.158,-10.821
7.82223,0.42225,-61.133,-10.821
9.17034,0.45799,-61.108,-10.821
8.80377,0.47132,-61.083,-10.821
5.03813,0.25468,-61.058,-10.821
4.92181,0.30692,-61.033,-10.821
4.6381,0.26169,-61.008,-10.821
4.50569,0.24989,-60.983,-10.821
4.69918,0.26829,-61.333,-10.796
4.13183,0.20059,-61.308,-10.796
4.11597,0.14728,-61.283,-10.796
11.6156,0.66237,-61.258,-10.796
13.0382,0.66905,-61.233,-10.796
11.1256,0.48619,-61.208,-10.796
7.83059,0.33843,-61.1825,-10.796
7.6526,0.25386,-61.158,-10.796
9.26356,0.45138,-61.133,-10.796
8.26751,0.44474,-61.108,-10.796
9.97862,0.62514,-61.083,-10.796
4.97627,0.27296,-61.058,-10.796
5.57944,0.30435,-61.033,-10.796
4.80503,0.26535,-61.008,-10.796
4.63168,0.259,-60.983,-10.796
4.82112,0.26257,-61.333,-10.771
4.06551,0.21017,-61.308,-10.771
5.67012,0.27541,-61.283,-10.771
11.0941,0.57073,-61.258,-10.771
9.9795,0.50344,-61.233,-10.771
8.1736,0.23943,-61.2075,-10.771
8.45948,0.38669,-61.1825,-10.771
8.18524,0.39631,-61.158,-10.771
9.56589,0.48878,-61.133,-10.771
8.32795,0.40359,-61.108,-10.771
8.28892,0.72551,-61.083,-10.771
4.85943,0.26278,-61.058,-10.771
4.68717,0.25774,-61.033,-10.771
4.62632,0.25078,-61.008,-10.771
4.67623,0.25722,-60.983,-10.771
4.67913,0.24431,-61.333,-10.746
4.03994,0.18922,-61.308,-10.746
4.76338,0.26005,-61.283,-10.746
9.30381,0.44425,-61.258,-10.746
10.3563,0.53799,-61.233,-10.746
11.5917,0.53652,-61.208,-10.746
9.4503,0.41347,-61.183,-10.746
10.6647,0.54719,-61.158,-10.746
6.01268,0.22206,-61.133,-10.746
10.0702,0.59725,-61.108,-10.746
4.52201,0.21221,-61.083,-10.746
4.84731,0.25166,-61.058,-10.746
5.39666,0.31694,-61.033,-10.746
4.52009,0.2418,-61.008,-10.746
4.56058,0.24796,-60.983,-10.746
6.26578,0.43429,-61.333,-10.721
6.74701,0.4382,-61.308,-10.721
4.4881,0.22764,-61.283,-10.721
6.47275,0.31336,-61.2575,-10.721
11.9143,0.56209,-61.233,-10.721
10.8192,0.54928,-61.2075,-10.721
11.0882,0.5065,-61.183,-10.721
8.44214,0.28584,-61.158,-10.721
6.50847,0.20639,-61.133,-10.721
5.61132,0.26953,-61.108,-10.721
5.08738,0.2585,-61.083,-10.721
4.72606,0.25072,-61.058,-10.721
4.64482,0.24529,-61.033,-10.721
5.18429,0.30333,-61.008,-10.721
4.49342,0.25341,-60.983,-10.721
4.58095,0.22781,-61.333,-10.696
4.52142,0.22466,-61.308,-10.696
3.01837,0.065021,-61.283,-10.696
6.03495,0.33773,-61.2575,-10.696
10.4963,0.4898,-61.233,-10.696
10.543,0.54601,-61.208,-10.696
11.1368,0.53488,-61.183,-10.696
12.7182,0.58902,-61.158,-10.696
10.6832,0.53125,-61.133,-10.696
6.67928,0.34749,-61.108,-10.696
5.64947,0.27828,-61.083,-10.696
5.32541,0.26796,-61.058,-10.696
5.79925,0.29304,-61.033,-10.696
4.84178,0.25318,-61.008,-10.696
6.52538,0.40165,-60.983,-10.696
4.72819,0.23601,-61.333,-10.671
4.77074,0.23678,-61.308,-10.671
4.72279,0.23653,-61.283,-10.671
4.55236,0.23524,-61.258,-10.671
3.95878,0.22306,-61.233,-10.671
1.03777,0.038435,-61.208,-10.671
1.98306,0.019551,-61.183,-10.671
12.7513,0.7842,-61.158,-10.671
7.08554,0.23831,-61.133,-10.671
0.486796,0.044319,-61.108,-10.671
4.9636,0.2471,-61.083,-10.671
5.39031,0.26309,-61.058,-10.671
4.84896,0.256,-61.033,-10.671
5.13435,0.27442,-61.008,-10.671
4.56281,0.24402,-60.983,-10.671
4.64553,0.2357,-61.333,-10.646
5.03338,0.2893,-61.308,-10.646
4.59376,0.24005,-61.283,-10.646
1.25757,0.015263,-61.258,-10.646
4.57348,0.22357,-61.233,-10.646
0.474449,0.002271,-61.208,-10.646
4.11381,0.25329,-61.183,-10.646
3.63138,0.23627,-61.158,-10.646
3.70743,0.2357,-61.133,-10.646
4.82541,0.24715,-61.108,-10.646
4.52013,0.19952,-61.083,-10.646
0.165994,0.016115,-61.058,-10.646
1.59161,0.009648,-61.033,-10.646
4.74118,0.26036,-61.008,-10.646
4.39428,0.23994,-60.983,-10.646
