Velocity,NormIntensity,NormIntensityFit
mm s^{-1},a.u.,a.u.
-0.99667,0.88701,0.86593
-0.97711,0.8972,0.86286
-0.95754,0.87686,0.85963
-0.93797,0.86001,0.85618
-0.9184,0.87474,0.85256
-0.89883,0.87117,0.8487
-0.87926,0.86361,0.8446
-0.85969,0.84991,0.84024
-0.84012,0.85545,0.83561
-0.82055,0.8483,0.83065
-0.80098,0.80468,0.82538
-0.78141,0.828,0.81972
-0.76184,0.82191,0.81367
-0.74227,0.79741,0.80718
-0.7227,0.79506,0.8002
-0.70313,0.76046,0.79272
-0.68356,0.81957,0.78464
-0.66399,0.72987,0.77593
-0.64443,0.77386,0.76653
-0.62486,0.75737,0.75633
-0.60529,0.79736,0.74533
-0.58572,0.72909,0.73337
-0.56615,0.73357,0.7204
-0.54658,0.69161,0.70632
-0.52701,0.72198,0.69098
-0.50744,0.65087,0.67434
-0.48787,0.60108,0.65623
-0.4683,0.60315,0.63657
-0.44873,0.59655,0.61524
-0.42916,0.62531,0.59217
-0.40959,0.56462,0.56726
-0.39002,0.51561,0.54057
-0.37045,0.52584,0.51209
-0.35088,0.47232,0.48199
-0.33131,0.43556,0.45049
-0.31174,0.42344,0.41796
-0.29217,0.40572,0.38484
-0.2726,0.32342,0.35178
-0.25304,0.31121,0.31939
-0.23347,0.30851,0.28834
-0.2139,0.28711,0.25918
-0.19433,0.24211,0.23231
-0.17476,0.17401,0.20786
-0.15519,0.14566,0.18575
-0.13562,0.17167,0.16558
-0.11605,0.15998,0.14689
-0.096479,0.094107,0.12921
-0.07691,0.10713,0.11214
-0.057341,0.07998,0.095618
-0.037771,0.088995,0.079778
-0.018202,0.055427,0.065248
0.0013679,0.062982,0.052883
0.020937,0.06006,0.043767
0.040507,0.045228,0.039008
0.060076,0.032687,0.039612
0.079646,0.047494,0.04616
0.099215,0.078696,0.058852
0.11879,0.085923,0.07726
0.13835,0.12297,0.1006
0.15792,0.12737,0.12763
0.17749,0.18011,0.15704
0.19706,0.17157,0.18743
0.21663,0.15351,0.21763
0.2362,0.22365,0.24654
0.25577,0.26716,0.27338
0.27534,0.29509,0.29753
0.29491,0.32015,0.31858
0.31448,0.33583,0.33624
0.33405,0.34709,0.35037
0.35362,0.3447,0.36082
0.37319,0.36472,0.36756
0.39276,0.3653,0.37059
0.41233,0.38046,0.36988
0.4319,0.38874,0.36545
0.45147,0.35555,0.35729
0.47103,0.34807,0.34543
0.49061,0.32488,0.32992
0.51017,0.32062,0.31085
0.52974,0.30829,0.28847
0.54931,0.24347,0.26306
