Time,Intensity
ns,a.u.
-4.47435,0
-3.98535,0
-3.49635,0
-3.00735,0
-2.51835,0
-2.02935,0
-1.54035,882
-1.05135,22480
-0.56235,54333
-0.07335,136287
0.41565,111968
0.90465,18703
1.39365,1670
1.88265,463
2.37165,228
2.86065,103
3.34965,38
3.83865,6
4.32765,4
4.81665,1
5.30565,0
5.79465,1
6.28365,0
6.77265,0
7.26165,0
7.75065,0
8.23965,1
8.72865,0
9.21765,0
9.70665,1
10.1957,0
10.6847,0
11.1737,0
11.6627,72
12.1517,3560
12.6406,22446
13.1297,1562
13.6186,259
14.1076,267
14.5967,263
15.0857,347
15.5747,533
16.0637,762
16.5526,813
17.0416,954
17.5307,1289
18.0196,1628
18.5087,1477
18.9977,1557
19.4867,1650
19.9756,1847
20.4646,1579
20.9537,1559
21.4427,1597
21.9316,1552
22.4207,1434
22.9096,1421
23.3986,1386
23.8877,1278
24.3767,1172
24.8657,1135
25.3546,1071
25.8436,1013
26.3326,1037
26.8216,926
27.3107,932
27.7997,961
28.2887,878
28.7776,865
29.2666,817
29.7556,820
30.2447,805
30.7337,746
31.2226,708
31.7117,703
32.2006,692
32.6897,625
33.1786,580
33.6677,568
34.1566,565
34.6456,529
35.1347,558
35.6236,521
36.1127,493
36.6016,440
37.0906,432
37.5797,437
38.0686,410
38.5577,367
39.0466,366
39.5357,340
40.0247,348
40.5136,282
41.0027,302
41.4916,284
41.9807,243
42.4697,243
42.9587,231
43.4477,205
43.9366,212
44.4257,182
44.9146,165
45.4037,157
45.8926,126
46.3817,139
46.8706,109
47.3596,103
47.8487,90
48.3376,97
48.8267,90
49.3156,80
49.8047,75
50.2936,53
50.7826,43
51.2717,42
51.7606,34
52.2496,23
52.7387,30
53.2276,30
53.7167,13
54.2056,19
54.6947,10
55.1837,15
55.6726,6
56.1617,13
56.6506,9
57.1397,7
57.6286,7
58.1177,5
58.6067,6
59.0956,3
59.5846,2
60.0737,6
60.5626,6
61.0516,10
61.5407,14
62.0297,9
62.5186,12
63.0076,13
63.4967,10
63.9856,22
64.4746,15
64.9637,21
65.4527,17
65.9416,24
66.4306,24
66.9197,32
67.4086,25
67.8976,34
68.3867,41
68.8757,34
69.3646,42
69.8537,39
70.3427,33
70.8316,43
71.3207,41
71.8097,48
72.2987,48
72.7876,55
73.2767,56
73.7657,62
74.2546,60
74.7437,65
75.2327,55
75.7217,63
76.2106,68
76.6997,54
77.1887,58
77.6776,71
78.1667,81
78.6557,85
79.1447,85
79.6336,62
80.1227,70
80.6117,64
81.1006,71
81.5897,82
82.0787,84
82.5677,85
83.0566,69
83.5457,81
84.0347,89
84.5236,89
85.0127,77
85.5017,94
85.9907,80
86.4796,69
86.9687,77
87.4577,80
87.9466,90
88.4356,90
88.9247,80
89.4137,80
89.9026,74
90.3917,80
90.8806,63
91.3696,67
91.8586,76
92.3477,63
92.8366,75
93.3256,89
93.8147,92
94.3036,74
94.7926,78
95.2816,94
95.7707,82
96.2596,91
96.7486,103
97.2377,76
97.7266,88
98.2156,81
98.7047,70
99.1937,87
99.6826,74
100.172,77
100.661,74
101.15,87
101.639,93
102.128,66
102.617,96
103.106,92
103.595,86
104.084,81
104.573,65
105.062,81
105.551,88
106.04,77
106.529,66
107.018,76
107.507,66
107.996,71
108.485,71
108.974,82
109.463,43
109.952,84
110.441,62
110.93,70
111.419,48
111.908,65
112.397,74
112.886,63
113.375,57
113.864,53
114.353,55
114.842,55
115.331,54
115.82,61
116.309,73
116.798,48
117.287,50
117.776,58
118.265,58
118.754,54
119.243,62
119.732,39
120.221,46
120.71,59
121.199,85
121.688,63
122.177,55
122.666,63
123.155,32
123.644,5
124.133,0
124.622,1
125.111,2
125.6,2
126.089,0
126.578,0
127.067,1
127.556,0
128.045,0
128.534,0
129.023,0
129.512,0
130.001,0
130.49,0
130.979,0
131.468,0
131.957,0
132.446,0
132.935,0
133.424,0
133.913,0
134.402,0
134.891,0
135.38,0
135.869,0
136.358,0
136.847,0
137.336,0
137.825,0
138.314,0
138.803,0
139.292,0
