Time,Intensity
ns,a.u.
23.8388,1782.005
24.3278,1782
24.8168,1527
25.3058,1611
25.7948,1628.999
26.2838,1472.948
26.7728,1311.04
27.26181,1496.973
27.75081,1320.999
28.23981,1306.022
28.72881,1370.97
29.21781,1220
29.70681,1231.988
30.19581,1164.999
30.68481,1127
31.17381,1128.999
31.66281,1086.986
32.15181,1026.988
32.64081,978.9985
33.12982,931.9983
33.61882,894.0007
34.10782,912.9985
34.59682,861.999
35.08582,843.9996
35.57482,831.9939
36.06382,802.9993
36.55282,774.9806
37.04182,700.9992
37.53082,689.9878
38.01982,643.9988
38.50882,642.9991
38.99783,611.9851
39.48683,555.9985
39.97583,532.9926
40.46483,498.9857
40.95383,453.0007
41.44283,452.9846
41.93183,395.9997
42.42083,399.9965
42.90983,378.9981
43.39883,350.9941
43.88783,335.0006
44.37684,328.9971
44.86584,279.9849
45.35484,240.0011
45.84384,248.9947
46.33284,188.0029
46.82184,228.998
47.31084,184.988
47.79984,150.9983
48.28884,137.997
48.77784,131.0005
49.26684,131.9978
49.75584,105.9997
50.24485,102.9934
50.73385,79.99806
51.22285,73.99784
51.71185,52.99977
52.20085,52.99796
52.68985,35.00119
53.17885,44.99768
53.66785,19.99861
54.15685,19.99751
54.64585,13.00078
55.13485,17.00008
55.62385,16.00017
56.11286,14.99864
56.60186,4.000086
57.09086,6.999759
57.57986,4.999192
58.06886,2.99985
58.55786,3.00049
59.04686,6.002052
59.53586,12.00044
60.02486,13.9995
60.51386,14.00116
61.00286,21.99891
61.49186,18.00043
61.98087,23.00017
62.46987,26.00375
62.95887,38.00334
63.44787,45.00198
63.93687,45.99756
64.42587,34.00695
64.91487,56.00029
65.40387,51.9989
65.89287,50.00458
66.38187,68.00326
66.87087,86.00186
67.35987,88.9967
67.84888,70.00117
68.33788,83.00302
68.82688,103.004
69.31588,118.9955
69.80488,102.9995
70.29388,103.9998
70.78288,104.0017
71.27188,110.0044
71.76088,115.9945
72.24988,99.01136
72.73888,166.0035
73.22789,150.9941
73.71689,120.9984
74.20589,122.0053
74.69489,131.9912
75.18389,118.0088
75.67289,163.9975
76.16189,138.9982
76.65089,139.9993
77.13989,137.0005
77.62889,142.0033
78.11789,149.0011
78.60689,148.9962
79.0959,132.0006
79.5849,142.0049
80.0739,151.9995
80.5629,153.0053
81.0519,176.9995
81.5409,168.9993
82.0299,165.9975
82.5189,159.0045
83.0079,176.9877
83.4969,155.0102
83.9859,204.0003
84.4749,184.9842
84.96391,151.9977
85.45291,152.0028
85.94191,161.9931
86.43091,150.0094
86.91991,177.0038
87.40891,184.999
87.89791,174.9916
88.38691,160.0007
88.87591,168.0026
89.36491,172.9961
89.85391,155.9987
90.34291,161.0042
90.83192,175.9972
91.32092,169.0061
91.80992,180.9966
92.29892,167.0022
92.78792,179.9999
93.27692,182.01
93.76592,204.0022
94.25492,204.9981
94.74392,194.9858
95.23292,173.0126
95.72192,199.9956
96.21093,175.9949
96.69993,176.009
97.18893,196.0015
97.67793,198.0005
98.16693,203.0153
98.65593,220.9741
99.14493,167.0037
99.63393,189.9913
100.1229,173.0022
100.6119,201.9962
101.1009,181.0039
101.5899,178.9997
102.0789,175.0009
102.5679,161.0009
103.0569,183.9955
103.5459,216.9968
104.0349,209.0025
104.5239,194.0024
105.0129,169.0025
105.5019,170.9982
105.9909,196.9977
106.4799,173.0031
106.9689,189.998
107.4579,168.0031
107.9469,164.9998
108.4359,162.0004
108.9249,158.0002
109.4139,164.9987
109.9029,181.999
110.3919,161.0022
110.881,175.9988
111.37,144.0028
111.859,172.9967
112.348,162.0022
112.837,141.0017
113.326,140.9998
113.815,128.0007
114.304,150.9981
114.793,133.0024
115.282,116.0009
115.771,124.9989
116.26,126.0005
116.749,106.0012
117.238,128.9982
117.727,107.0023
118.216,98.99957
118.705,131.9978
119.194,111.0024
119.683,96.00071
120.172,93.99908
