e         norm        nbkg        flat        fbkg        nder        nsec
  7103.4013       0.59416276E-02   0.59416274E-02   0.59416274E-02   0.59416274E-02   0.39718608E-03   0.25898286E-02
  7103.4992       0.59586795E-02   0.59586793E-02   0.59586793E-02   0.59586793E-02   0.83299251E-03   0.30133638E-02
  7103.5987       0.61060386E-02   0.61060384E-02   0.61060384E-02   0.61060384E-02   0.99194574E-03  -0.16983178E-02
  7103.6998       0.61577055E-02   0.61577053E-02   0.61577053E-02   0.61577053E-02   0.49223863E-03  -0.18989781E-02
  7103.7994       0.62048053E-02   0.62048051E-02   0.62048051E-02   0.62048051E-02   0.61091958E-03   0.19429003E-02
  7103.8989       0.62792925E-02   0.62792923E-02   0.62792923E-02   0.62792923E-02   0.87892047E-03   0.13256547E-02
  7104.0016       0.63826030E-02   0.63826028E-02   0.63826028E-02   0.63826028E-02   0.87908759E-03  -0.55708059E-03
  7104.1012       0.64571293E-02   0.64571291E-02   0.64571291E-02   0.64571291E-02   0.76622474E-03  -0.11624593E-02
  7104.1974       0.65326130E-02   0.65326127E-02   0.65326128E-02   0.65326127E-02   0.65150362E-03  -0.10378360E-02
  7104.3002       0.65868085E-02   0.65868083E-02   0.65868083E-02   0.65868083E-02   0.55964763E-03   0.13305922E-02
  7104.4014       0.66467509E-02   0.66467506E-02   0.66467506E-02   0.66467506E-02   0.92287258E-03   0.50782474E-02
  7104.4976       0.67690076E-02   0.67690073E-02   0.67690073E-02   0.67690073E-02   0.15622257E-02   0.53071592E-03
  7104.5988       0.69551842E-02   0.69551840E-02   0.69551840E-02   0.69551840E-02   0.10276529E-02  -0.55042624E-02
  7104.7032       0.69802889E-02   0.69802886E-02   0.69802886E-02   0.69802886E-02   0.43057137E-03   0.27943492E-03
  7104.8044       0.70437106E-02   0.70437103E-02   0.70437103E-02   0.70437103E-02   0.10851053E-02   0.17081395E-02
  7104.9023       0.71963138E-02   0.71963135E-02   0.71963135E-02   0.71963135E-02   0.77063121E-03  -0.14939021E-02
  7105.0002       0.71946186E-02   0.71946184E-02   0.71946184E-02   0.71946184E-02   0.79256338E-03   0.39154879E-02
  7105.0998       0.73528142E-02   0.73528139E-02   0.73528139E-02   0.73528139E-02   0.15437874E-02  -0.48213839E-03
  7105.1993       0.75019836E-02   0.75019833E-02   0.75019834E-02   0.75019833E-02   0.69657060E-03  -0.49713813E-02
  7105.3005       0.74926410E-02   0.74926407E-02   0.74926407E-02   0.74926407E-02   0.54585216E-03   0.23914966E-02
  7105.4001       0.76115596E-02   0.76115593E-02   0.76115594E-02   0.76115593E-02   0.11766468E-02   0.38289146E-02
  7105.4980       0.77250099E-02   0.77250096E-02   0.77250096E-02   0.77250096E-02   0.13020015E-02  -0.59182173E-03
  7105.5992       0.78708168E-02   0.78708165E-02   0.78708165E-02   0.78708165E-02   0.10588021E-02  -0.77893789E-03
  7105.6971       0.79358470E-02   0.79358467E-02   0.79358467E-02   0.79358467E-02   0.11468932E-02   0.26652041E-03
  7105.7967       0.80973293E-02   0.80973290E-02   0.80973290E-02   0.80973290E-02   0.11114401E-02   0.90843094E-04
  7105.8995       0.81608069E-02   0.81608066E-02   0.81608066E-02   0.81608066E-02   0.11652802E-02  -0.22319661E-04
  7106.0007       0.83350954E-02   0.83350951E-02   0.83350951E-02   0.83350951E-02   0.11068860E-02  -0.26716199E-02
  7106.1003       0.83830508E-02   0.83830505E-02   0.83830505E-02   0.83830505E-02   0.62886433E-03   0.86584028E-03
  7106.1999       0.84603382E-02   0.84603378E-02   0.84603379E-02   0.84603378E-02   0.12793241E-02   0.44579094E-02
  7106.3027       0.86420218E-02   0.86420215E-02   0.86420215E-02   0.86420215E-02   0.15312700E-02  -0.17419289E-02
  7106.4040       0.87728198E-02   0.87728195E-02   0.87728195E-02   0.87728195E-02   0.92385391E-03  -0.40047078E-02
  7106.5003       0.88245218E-02   0.88245215E-02   0.88245215E-02   0.88245215E-02   0.74017203E-03   0.23931715E-02
  7106.5999       0.89178306E-02   0.89178303E-02   0.89178303E-02   0.89178303E-02   0.13927121E-02   0.33646087E-02
  7106.7011       0.91042048E-02   0.91042045E-02   0.91042045E-02   0.91042045E-02   0.14158494E-02  -0.18394384E-03
  7106.8007       0.92021686E-02   0.92021683E-02   0.92021683E-02   0.92021683E-02   0.13557716E-02   0.43164026E-03
  7106.9019       0.93764858E-02   0.93764855E-02   0.93764855E-02   0.93764855E-02   0.15025361E-02  -0.90729596E-04
  7106.9983       0.94990262E-02   0.94990258E-02   0.94990258E-02   0.94990258E-02   0.13378460E-02  -0.10780761E-03
  7107.0962       0.96364440E-02   0.96364437E-02   0.96364437E-02   0.96364437E-02   0.14815879E-02  -0.36211026E-03
  7107.1991       0.97966001E-02   0.97965998E-02   0.97965998E-02   0.97965998E-02   0.12651169E-02  -0.14248288E-02
  7107.3004       0.98946797E-02   0.98946793E-02   0.98946793E-02   0.98946793E-02   0.11907519E-02   0.13594676E-02
  7107.3983       0.10033830E-01   0.10033830E-01   0.10033830E-01   0.10033830E-01   0.15359596E-02   0.15578877E-02
  7107.4980       0.10198185E-01   0.10198185E-01   0.10198185E-01   0.10198185E-01   0.14985905E-02   0.20853354E-02
  7107.6009       0.10337302E-01   0.10337302E-01   0.10337302E-01   0.10337302E-01   0.19582504E-02   0.23196186E-02
  7107.7021       0.10597950E-01   0.10597950E-01   0.10597950E-01   0.10597950E-01   0.19721267E-02  -0.31133375E-02
  7107.8017       0.10733471E-01   0.10733470E-01   0.10733470E-01   0.10733470E-01   0.13328307E-02  -0.74960555E-03
  7107.8997       0.10861348E-01   0.10861348E-01   0.10861348E-01   0.10861348E-01   0.18239874E-02   0.49802041E-02
  7107.9994       0.11093944E-01   0.11093943E-01   0.11093943E-01   0.11093943E-01   0.23170635E-02   0.58397683E-03
  7108.0974       0.11319281E-01   0.11319281E-01   0.11319281E-01   0.11319281E-01   0.19394017E-02  -0.22662683E-02
  7108.1986       0.11480414E-01   0.11480414E-01   0.11480414E-01   0.11480414E-01   0.18654574E-02   0.24580541E-02
  7108.3032       0.11703217E-01   0.11703216E-01   0.11703216E-01   0.11703216E-01   0.24453012E-02   0.27200776E-03
  7108.4045       0.11983706E-01   0.11983705E-01   0.11983705E-01   0.11983705E-01   0.19214420E-02  -0.32113060E-02
  7108.5041       0.12089282E-01   0.12089282E-01   0.12089282E-01   0.12089282E-01   0.18000695E-02   0.61862236E-02
  7108.6005       0.12336574E-01   0.12336573E-01   0.12336573E-01   0.12336573E-01   0.31341275E-02   0.18381769E-02
  7108.6985       0.12698566E-01   0.12698566E-01   0.12698566E-01   0.12698566E-01   0.21574166E-02  -0.78871347E-02
  7108.7965       0.12759518E-01   0.12759517E-01   0.12759517E-01   0.12759517E-01   0.15879178E-02   0.49542304E-02
  7108.8978       0.13015060E-01   0.13015060E-01   0.13015060E-01   0.13015060E-01   0.31448641E-02   0.75715611E-02
  7108.9991       0.13396630E-01   0.13396629E-01   0.13396629E-01   0.13396629E-01   0.31218252E-02  -0.35887910E-02
  7109.0971       0.13637321E-01   0.13637321E-01   0.13637321E-01   0.13637321E-01   0.24295247E-02   0.41370393E-02
  7109.2001       0.13884881E-01   0.13884881E-01   0.13884881E-01   0.13884881E-01   0.39532295E-02   0.11680165E-01
  7109.3030       0.14451188E-01   0.14451188E-01   0.14451188E-01   0.14451188E-01   0.48341671E-02  -0.22286070E-02
  7109.4027       0.14864342E-01   0.14864341E-01   0.14864341E-01   0.14864341E-01   0.35016869E-02  -0.16880585E-02
  7109.5007       0.15143528E-01   0.15143527E-01   0.15143527E-01   0.15143527E-01   0.45004109E-02   0.93791756E-02
  7109.5988       0.15746814E-01   0.15746813E-01   0.15746813E-01   0.15746813E-01   0.53408213E-02   0.29134039E-02
  7109.6968       0.16190826E-01   0.16190825E-01   0.16190825E-01   0.16190825E-01   0.50717090E-02   0.31870274E-02
  7109.7981       0.16757950E-01   0.16757950E-01   0.16757950E-01   0.16757950E-01   0.59762126E-02   0.58544287E-02
  7109.8995       0.17401857E-01   0.17401857E-01   0.17401857E-01   0.17401857E-01   0.62580621E-02   0.64981051E-03
  7109.9975       0.18005676E-01   0.18005676E-01   0.18005676E-01   0.18005676E-01   0.61057712E-02  -0.29903341E-02
  7110.1005       0.18629233E-01   0.18629233E-01   0.18629233E-01   0.18629233E-01   0.56569481E-02   0.73659712E-02
  7110.2018       0.19161351E-01   0.19161351E-01   0.19161351E-01   0.19161351E-01   0.76105876E-02   0.21982781E-01
