e         norm        nbkg        flat        fbkg        nder        nsec
  7103.3948       0.75338251E-02   0.75338245E-02   0.75338244E-02   0.75338245E-02   0.76087019E-03   0.24548007E-02
  7103.4959       0.76374401E-02   0.76374395E-02   0.76374395E-02   0.76374395E-02   0.12950249E-02   0.42333267E-02
  7103.5970       0.77957659E-02   0.77957653E-02   0.77957652E-02   0.77957653E-02   0.16171325E-02  -0.54992288E-03
  7103.6982       0.79645440E-02   0.79645433E-02   0.79645433E-02   0.79645433E-02   0.11837898E-02  -0.40061687E-02
  7103.8026       0.80390844E-02   0.80390838E-02   0.80390837E-02   0.80390838E-02   0.79369655E-03  -0.35232513E-02
  7103.9053       0.81289812E-02   0.81289806E-02   0.81289805E-02   0.81289806E-02   0.45384614E-03  -0.69259368E-03
  7104.0065       0.81316341E-02   0.81316334E-02   0.81316334E-02   0.81316334E-02   0.65246077E-03   0.41000766E-02
  7104.1027       0.82577789E-02   0.82577783E-02   0.82577782E-02   0.82577783E-02   0.12632136E-02   0.99806683E-03
  7104.2039       0.83810038E-02   0.83810031E-02   0.83810031E-02   0.83810031E-02   0.84948814E-03  -0.28299476E-02
  7104.3051       0.84296389E-02   0.84296382E-02   0.84296382E-02   0.84296382E-02   0.69068687E-03   0.21319232E-02
  7104.4029       0.85184864E-02   0.85184857E-02   0.85184857E-02   0.85184857E-02   0.12738517E-02  -0.14503616E-02
  7104.5041       0.86832093E-02   0.86832086E-02   0.86832085E-02   0.86832086E-02   0.40198079E-03  -0.11289497E-02
  7104.6036       0.85991623E-02   0.85991617E-02   0.85991616E-02   0.85991617E-02   0.10472760E-02   0.81905823E-02
  7104.7032       0.88916895E-02   0.88916887E-02   0.88916887E-02   0.88916887E-02   0.20324718E-02  -0.90046042E-03
  7104.8011       0.90004617E-02   0.90004610E-02   0.90004609E-02   0.90004610E-02   0.86948552E-03  -0.25362382E-02
  7104.8957       0.90591124E-02   0.90591116E-02   0.90591116E-02   0.90591116E-02   0.15441090E-02   0.39849644E-02
  7104.9985       0.93053538E-02   0.93053530E-02   0.93053530E-02   0.93053530E-02   0.16563367E-02  -0.44927763E-02
  7105.1014       0.93996883E-02   0.93996876E-02   0.93996875E-02   0.93996876E-02   0.62030434E-03  -0.27638359E-02
  7105.1993       0.94298674E-02   0.94298667E-02   0.94298666E-02   0.94298667E-02   0.11015519E-02   0.18440413E-02
  7105.3005       0.96190128E-02   0.96190120E-02   0.96190120E-02   0.96190120E-02   0.98746218E-03   0.18313465E-02
  7105.3984       0.96264810E-02   0.96264803E-02   0.96264802E-02   0.96264803E-02   0.14661913E-02   0.57100592E-02
  7105.4996       0.99109550E-02   0.99109541E-02   0.99109541E-02   0.99109541E-02   0.21244263E-02   0.73220384E-03
  7105.5991       0.10052968E-01   0.10052967E-01   0.10052967E-01   0.10052967E-01   0.16131841E-02  -0.36861405E-02
  7105.6954       0.10226918E-01   0.10226917E-01   0.10226917E-01   0.10226917E-01   0.14024478E-02  -0.73125706E-02
  7105.7966       0.10329954E-01   0.10329954E-01   0.10329953E-01   0.10329954E-01   0.16893683E-03  -0.52875350E-04
  7105.8962       0.10260836E-01   0.10260835E-01   0.10260835E-01   0.10260835E-01   0.13918319E-02   0.94589053E-02
  7105.9974       0.10609402E-01   0.10609401E-01   0.10609401E-01   0.10609401E-01   0.20680675E-02  -0.32821320E-02
  7106.1019       0.10686196E-01   0.10686195E-01   0.10686195E-01   0.10686195E-01   0.71676300E-03  -0.35743092E-03
  7106.1998       0.10754491E-01   0.10754490E-01   0.10754490E-01   0.10754490E-01   0.19957156E-02   0.60457382E-02
  7106.2994       0.11080412E-01   0.11080411E-01   0.11080411E-01   0.11080411E-01   0.19109837E-02  -0.54957478E-02
  7106.4039       0.11144458E-01   0.11144457E-01   0.11144457E-01   0.11144457E-01   0.87422031E-03  -0.47936641E-02
  7106.5051       0.11260243E-01   0.11260242E-01   0.11260242E-01   0.11260242E-01   0.92490305E-03   0.57637263E-02
  7106.6047       0.11330191E-01   0.11330190E-01   0.11330190E-01   0.11330190E-01   0.20316572E-02   0.80578869E-02
  7106.7027       0.11661605E-01   0.11661604E-01   0.11661604E-01   0.11661604E-01   0.25167708E-02  -0.24925116E-02
  7106.8039       0.11831512E-01   0.11831511E-01   0.11831511E-01   0.11831511E-01   0.15351689E-02  -0.66295709E-02
  7106.9035       0.11969915E-01   0.11969914E-01   0.11969914E-01   0.11969914E-01   0.11853475E-02  -0.42406283E-02
  7107.0015       0.12065702E-01   0.12065701E-01   0.12065701E-01   0.12065701E-01   0.69734370E-03   0.49425812E-02
  7107.0978       0.12105416E-01   0.12105415E-01   0.12105415E-01   0.12105415E-01   0.21457454E-02   0.11086679E-01
  7107.1942       0.12479153E-01   0.12479152E-01   0.12479152E-01   0.12479152E-01   0.28335693E-02  -0.64990380E-02
  7107.2987       0.12674550E-01   0.12674549E-01   0.12674549E-01   0.12674549E-01   0.84038759E-03  -0.35086615E-02
  7107.3983       0.12650698E-01   0.12650697E-01   0.12650697E-01   0.12650697E-01   0.21173603E-02   0.82496065E-02
  7107.5012       0.13103313E-01   0.13103312E-01   0.13103312E-01   0.13103312E-01   0.25109247E-02  -0.45714505E-02
  7107.6057       0.13171474E-01   0.13171472E-01   0.13171472E-01   0.13171472E-01   0.11692232E-02   0.14569532E-02
  7107.7021       0.13338184E-01   0.13338183E-01   0.13338183E-01   0.13338183E-01   0.28035945E-02   0.77087354E-02
  7107.7984       0.13711777E-01   0.13711776E-01   0.13711776E-01   0.13711776E-01   0.26548352E-02  -0.69821317E-02
  7107.8964       0.13854168E-01   0.13854166E-01   0.13854166E-01   0.13854166E-01   0.14465753E-02  -0.19427811E-02
  7107.9960       0.13997662E-01   0.13997661E-01   0.13997661E-01   0.13997661E-01   0.22708854E-02   0.62714181E-02
  7108.0957       0.14306682E-01   0.14306681E-01   0.14306681E-01   0.14306681E-01   0.26962683E-02   0.13455851E-02
  7108.1953       0.14534955E-01   0.14534954E-01   0.14534954E-01   0.14534954E-01   0.25390241E-02   0.28685368E-02
  7108.2950       0.14812657E-01   0.14812655E-01   0.14812655E-01   0.14812655E-01   0.32679074E-02   0.16484337E-03
  7108.3979       0.15196880E-01   0.15196879E-01   0.15196879E-01   0.15196879E-01   0.25724136E-02  -0.65194539E-02
  7108.4991       0.15337923E-01   0.15337922E-01   0.15337922E-01   0.15337922E-01   0.19366871E-02   0.37840904E-03
  7108.5988       0.15586018E-01   0.15586017E-01   0.15586017E-01   0.15586017E-01   0.26484474E-02   0.61110030E-02
  7108.6952       0.15857114E-01   0.15857113E-01   0.15857113E-01   0.15857113E-01   0.31346637E-02   0.23924487E-02
  7108.7948       0.16200544E-01   0.16200543E-01   0.16200543E-01   0.16200543E-01   0.31174678E-02   0.28912029E-02
  7108.8978       0.16488657E-01   0.16488655E-01   0.16488655E-01   0.16488655E-01   0.37203693E-02  -0.80588393E-03
  7108.9974       0.16954246E-01   0.16954245E-01   0.16954245E-01   0.16954245E-01   0.29542054E-02  -0.48309328E-02
  7109.0971       0.17077507E-01   0.17077505E-01   0.17077505E-01   0.17077505E-01   0.27574388E-02   0.10970198E-01
  7109.1984       0.17508398E-01   0.17508396E-01   0.17508396E-01   0.17508396E-01   0.51588423E-02   0.10638040E-01
  7109.2981       0.18114290E-01   0.18114288E-01   0.18114288E-01   0.18114288E-01   0.48953870E-02  -0.53720544E-02
  7109.3961       0.18476260E-01   0.18476258E-01   0.18476258E-01   0.18476258E-01   0.40967388E-02   0.12068527E-03
  7109.4974       0.18930974E-01   0.18930973E-01   0.18930973E-01   0.18930973E-01   0.49194456E-02   0.56165560E-02
  7109.5987       0.19473058E-01   0.19473056E-01   0.19473056E-01   0.19473056E-01   0.52347878E-02   0.58606267E-02
  7109.6968       0.19974587E-01   0.19974585E-01   0.19974585E-01   0.19974585E-01   0.60878260E-02   0.11084095E-01
  7109.7965       0.20676822E-01   0.20676820E-01   0.20676820E-01   0.20676820E-01   0.74264791E-02   0.79379411E-02
  7109.8945       0.21443092E-01   0.21443090E-01   0.21443090E-01   0.21443090E-01   0.76574665E-02   0.17250873E-02
  7109.9926       0.22178527E-01   0.22178526E-01   0.22178526E-01   0.22178526E-01   0.77647860E-02   0.73741734E-02
