   e         norm        nbkg        flat        fbkg        nder        nsec
  7093.2157       0.19533537E-02   0.19533536E-02   0.19533537E-02   0.19533536E-02   0.35857422E-03   0.28329768E-04
  7093.7157       0.21326408E-02   0.21326407E-02   0.21326408E-02   0.21326407E-02   0.35857422E-03   0.12641797E-15
  7094.2157       0.23119280E-02   0.23119279E-02   0.23119279E-02   0.23119279E-02   0.35857422E-03   0.27143447E-04
  7094.7157       0.24912151E-02   0.24912150E-02   0.24912150E-02   0.24912150E-02   0.38571767E-03   0.93299537E-04
  7095.2157       0.26976456E-02   0.26976455E-02   0.26976455E-02   0.26976455E-02   0.45187376E-03   0.10516873E-03
  7095.7157       0.29430888E-02   0.29430887E-02   0.29430887E-02   0.29430887E-02   0.49088640E-03   0.39012643E-04
  7096.2157       0.31885320E-02   0.31885319E-02   0.31885319E-02   0.31885319E-02   0.49088640E-03   0.12620113E-15
  7096.7157       0.34339752E-02   0.34339751E-02   0.34339751E-02   0.34339751E-02   0.49088640E-03   0.32440761E-04
  7097.2157       0.36794184E-02   0.36794183E-02   0.36794183E-02   0.36794183E-02   0.52332717E-03   0.11158078E-03
  7097.7157       0.39573024E-02   0.39573022E-02   0.39573023E-02   0.39573022E-02   0.60246719E-03   0.12583928E-03
  7098.2157       0.42818856E-02   0.42818855E-02   0.42818855E-02   0.42818855E-02   0.64916645E-03   0.46699260E-04
  7098.7157       0.46064688E-02   0.46064687E-02   0.46064687E-02   0.46064687E-02   0.64916645E-03   0.12663481E-15
  7099.2157       0.49310521E-02   0.49310519E-02   0.49310519E-02   0.49310519E-02   0.64916645E-03   0.34848520E-04
  7099.7157       0.52556353E-02   0.52556351E-02   0.52556351E-02   0.52556351E-02   0.68401497E-03   0.11935436E-03
  7100.2157       0.56150670E-02   0.56150668E-02   0.56150669E-02   0.56150668E-02   0.76852081E-03   0.13416317E-03
  7100.7157       0.60241561E-02   0.60241559E-02   0.60241559E-02   0.60241559E-02   0.81817814E-03   0.49657324E-04
  7101.2157       0.64332452E-02   0.64332449E-02   0.64332450E-02   0.64332449E-02   0.81817814E-03   0.12750218E-15
  7101.7157       0.68423342E-02   0.68423340E-02   0.68423340E-02   0.68423340E-02   0.81817814E-03   0.40624960E-04
  7102.2157       0.72514233E-02   0.72514230E-02   0.72514231E-02   0.72514230E-02   0.85880310E-03   0.97484120E-04
  7102.7157       0.77011373E-02   0.77011371E-02   0.77011371E-02   0.77011371E-02   0.91566226E-03   0.73093360E-04
  7103.2157       0.81670856E-02   0.81670853E-02   0.81670853E-02   0.81670853E-02   0.93189646E-03   0.40679233E-04
  7103.7157       0.86330338E-02   0.86330335E-02   0.86330335E-02   0.86330335E-02   0.95634149E-03   0.14031914E-03
  7104.2157       0.91234270E-02   0.91234267E-02   0.91234268E-02   0.91234267E-02   0.10722156E-02   0.41938510E-03
  7104.7157       0.97052494E-02   0.97052491E-02   0.97052491E-02   0.97052491E-02   0.13757266E-02   0.45254843E-03
  7105.2157       0.10499154E-01   0.10499153E-01   0.10499153E-01   0.10499153E-01   0.15247640E-02   0.13005016E-03
  7105.7157       0.11230013E-01   0.11230013E-01   0.11230013E-01   0.11230013E-01   0.15057767E-02  -0.14159851E-04
  7106.2157       0.12004930E-01   0.12004930E-01   0.12004930E-01   0.12004930E-01   0.15106042E-02   0.23583311E-04
  7106.7157       0.12740618E-01   0.12740617E-01   0.12740617E-01   0.12740617E-01   0.15293601E-02   0.29056351E-03
  7107.2157       0.13534290E-01   0.13534290E-01   0.13534290E-01   0.13534290E-01   0.18011677E-02   0.66429757E-03
  7107.7157       0.14541785E-01   0.14541785E-01   0.14541785E-01   0.14541785E-01   0.21936576E-02   0.64717406E-03
  7108.2157       0.15727948E-01   0.15727948E-01   0.15727948E-01   0.15727948E-01   0.24483417E-02   0.71705736E-03
  7108.7157       0.16990127E-01   0.16990126E-01   0.16990126E-01   0.16990126E-01   0.29107150E-02   0.12817729E-02
  7109.2157       0.18638663E-01   0.18638662E-01   0.18638662E-01   0.18638662E-01   0.37301146E-02   0.22318112E-02
  7109.7157       0.20720242E-01   0.20720241E-01   0.20720241E-01   0.20720241E-01   0.51425262E-02   0.41825127E-02
  7110.2157       0.23781189E-01   0.23781188E-01   0.23781188E-01   0.23781188E-01   0.79126273E-02   0.68571982E-02
  7110.7157       0.28632869E-01   0.28632868E-01   0.28632868E-01   0.28632868E-01   0.11999724E-01   0.12362470E-01
  7111.2157       0.35780914E-01   0.35780912E-01   0.35780912E-01   0.35780912E-01   0.20275097E-01   0.22143981E-01
  7111.7157       0.48907966E-01   0.48907964E-01   0.48907964E-01   0.48907964E-01   0.34143706E-01   0.17757112E-01
  7112.2157       0.69924619E-01   0.69924617E-01   0.69924617E-01   0.69924617E-01   0.38032209E-01  -0.11280622E-01
  7112.7157       0.86940175E-01   0.86940172E-01   0.86940173E-01   0.86940172E-01   0.22863084E-01  -0.31236895E-01
  7113.2157       0.92787703E-01   0.92787700E-01   0.92787700E-01   0.92787700E-01   0.67953140E-02  -0.29857273E-01
  7113.7157       0.93735489E-01   0.93735486E-01   0.93735486E-01   0.93735486E-01  -0.69941898E-02  -0.29609054E-01
  7114.2157       0.85793513E-01   0.85793510E-01   0.85793510E-01   0.85793510E-01  -0.22813740E-01  -0.17007058E-01
  7114.7157       0.70921750E-01   0.70921747E-01   0.70921747E-01   0.70921747E-01  -0.24001248E-01   0.12994317E-01
  7115.2157       0.61792265E-01   0.61792263E-01   0.61792263E-01   0.61792263E-01  -0.98194231E-02   0.27446950E-01
  7115.7157       0.61102326E-01   0.61102325E-01   0.61102325E-01   0.61102325E-01   0.34457017E-02   0.20787389E-01
  7116.2157       0.65237966E-01   0.65237964E-01   0.65237964E-01   0.65237964E-01   0.10967966E-01   0.12230080E-01
  7116.7157       0.72070292E-01   0.72070290E-01   0.72070290E-01   0.72070290E-01   0.15675782E-01   0.91422504E-02
  7117.2157       0.80913748E-01   0.80913746E-01   0.80913746E-01   0.80913746E-01   0.20110216E-01   0.98446272E-02
  7117.7157       0.92180508E-01   0.92180505E-01   0.92180505E-01   0.92180505E-01   0.25520409E-01   0.12021000E-01
  7118.2157       0.10643416       0.10643415       0.10643415       0.10643415       0.32131216E-01   0.15232501E-01
  7118.7157       0.12431172       0.12431172       0.12431172       0.12431172       0.40752910E-01   0.20972633E-01
  7119.2157       0.14718707       0.14718706       0.14718706       0.14718706       0.53103849E-01   0.26426174E-01
  7119.7157       0.17741557       0.17741557       0.17741557       0.17741557       0.67179083E-01   0.28747949E-01
  7120.2157       0.21436615       0.21436614       0.21436614       0.21436614       0.81851798E-01   0.31686256E-01
  7120.7157       0.25926737       0.25926736       0.25926736       0.25926736       0.98865339E-01   0.36141893E-01
  7121.2157       0.31323149       0.31323148       0.31323148       0.31323148       0.11799369       0.35260255E-01
  7121.7157       0.37726106       0.37726105       0.37726105       0.37726105       0.13412559       0.26245545E-01
  7122.2157       0.44735708       0.44735707       0.44735707       0.44735707       0.14423924       0.99149030E-02
  7122.7157       0.52150030       0.52150028       0.52150031       0.52150031       0.14404050      -0.13294563E-01
  7123.2157       0.59139758        1.0306159       0.59136957        1.0305879       0.13094467      -0.30071323E-01
  7123.7157       0.65244497        1.0264617       0.65238999        1.0264067       0.11396917      -0.28853326E-01
  7124.2157       0.70536676        1.0224359       0.70528586        1.0223550       0.10209135      -0.19115549E-01
  7124.7157       0.75453632        1.0185358       0.75443058        1.0184301       0.94853625E-01  -0.15415301E-01
  7125.2157       0.80022038        1.0147587       0.80009086        1.0146292       0.86676047E-01  -0.15176118E-01
  7125.7157       0.84121237        1.0111018       0.84106012        1.0109495       0.79677507E-01  -0.12331872E-01
  7126.2157       0.87989789        1.0075622       0.87972398        1.0073883       0.74344175E-01  -0.75485383E-02
  7126.7157       0.91555654        1.0041373       0.91536203        1.0039428       0.72128969E-01  -0.13869419E-01
  7127.2157       0.95202686        1.0008243       0.95181280        1.0006102       0.60474756E-01  -0.29128582E-01
  7127.7157       0.97603130       0.99762033       0.97579876       0.99738782       0.43000387E-01  -0.25606087E-01
  7128.2157       0.99502724       0.99452271       0.99477729       0.99427279       0.34868669E-01  -0.17454740E-01
  7128.7157        1.0109000       0.99152865        1.0106337       0.99126237       0.25545646E-01  -0.18869940E-01
  7129.2157        1.0205729       0.98863538        1.0202913       0.98835380       0.15998729E-01  -0.15270459E-01
  7129.7157        1.0268987       0.98584011        1.0266028       0.98554430       0.10275187E-01  -0.11739522E-01
  7130.2157        1.0308481       0.98314010        1.0305391       0.98283111       0.42592070E-02  -0.10436745E-01
  7130.7157        1.0311579       0.98053256        1.0308368       0.98021145      -0.16155780E-03  -0.69691927E-02
  7131.2157        1.0306865       0.97801472        1.0303543       0.97768256      -0.27099856E-02  -0.41374816E-02
  7131.7157        1.0284479       0.97558382        1.0281057       0.97524167      -0.42990394E-02  -0.11634363E-02
  7132.2157        1.0263875       0.97323709        1.0260364       0.97288600      -0.38734219E-02   0.84180528E-03
  7132.7157        1.0245745       0.97097175        1.0242155       0.97061279      -0.34572342E-02   0.68882798E-03
  7133.2157        1.0229302       0.96878503        1.0225644       0.96841927      -0.31845939E-02   0.12248796E-02
  7133.7157        1.0213899       0.96667417        1.0210184       0.96630266      -0.22323545E-02   0.20409569E-02
  7134.2157        1.0206979       0.96463640        1.0203217       0.96426019      -0.11436371E-02   0.12242822E-02
  7134.7157        1.0202463       0.96266894        1.0198664       0.96228911      -0.10080724E-02   0.19882677E-04
  7135.2157        1.0196898       0.96076902        1.0193074       0.96038663      -0.11237544E-02  -0.14746026E-02
  7135.7157        1.0191225       0.95893388        1.0187386       0.95854998      -0.24826749E-02  -0.27293945E-02
  7136.2157        1.0172071       0.95716075        1.0168228       0.95677640      -0.38531489E-02  -0.16640022E-02
  7136.7157        1.0152694       0.95544685        1.0148856       0.95506312      -0.41466772E-02  -0.61561699E-03
  7137.2157        1.0130605       0.95378941        1.0126784       0.95340736      -0.44687659E-02  -0.18531814E-02
  7137.7157        1.0108006       0.95218567        1.0104213       0.95180636      -0.59998586E-02  -0.30112092E-02
  7138.2157        1.0070606       0.95063285        1.0066851       0.95025734      -0.74799750E-02  -0.21111779E-02
  7138.7157        1.0033206       0.94912819        1.0029499       0.94875754      -0.81110365E-02  -0.12685152E-02
  7139.2157       0.99894957       0.94766892       0.99858481       0.94730419      -0.87484903E-02  -0.20042722E-02
  7139.7157       0.99457213       0.94625226       0.99421435       0.94589451      -0.10115309E-01  -0.28567687E-02
  7140.2157       0.98883426       0.94487546       0.98848452       0.94452575      -0.11605259E-01  -0.59759478E-03
  7140.7157       0.98296687       0.94353671       0.98262623       0.94319611      -0.10712903E-01   0.21604327E-02
  7141.2157       0.97812136       0.94223550       0.97779089       0.94190506      -0.94448263E-02   0.17086888E-02
  7141.7157       0.97352204       0.94097141       0.97320280       0.94065220      -0.90042146E-02   0.74040474E-03
  7142.2157       0.96911714       0.93974404       0.96881018       0.93943711      -0.87044216E-02   0.77563557E-03
  7142.7157       0.96481762       0.93855296       0.96452401       0.93825938      -0.82285790E-02   0.13097329E-02
  7143.2157       0.96088856       0.93739777       0.96060936       0.93711860      -0.73946887E-02   0.12590253E-02
  7143.7157       0.95742293       0.93627805       0.95715920       0.93601435      -0.69695537E-02   0.23952695E-03
  7144.2157       0.95391901       0.93519339       0.95367181       0.93494622      -0.71551617E-02  -0.33292465E-03
  7144.7157       0.95026777       0.93414338       0.95003816       0.93391380      -0.73024784E-02   0.58426741E-03
  7145.2157       0.94661653       0.93312761       0.94640557       0.93291667      -0.65708943E-02   0.15116143E-02
  7145.7157       0.94369688       0.93214565       0.94350563       0.93195443      -0.57908641E-02   0.68799389E-03
  7146.2157       0.94082567       0.93119711       0.94065519       0.93102666      -0.58829004E-02  -0.31771742E-03
  7146.7157       0.93781398       0.93028156       0.93766533       0.93013294      -0.61085815E-02  -0.42272339E-03
  7147.2157       0.93471709       0.92939859       0.93459134       0.92927287      -0.63056238E-02  -0.61651031E-03
  7147.7157       0.93150835       0.92854779       0.93140656       0.92844603      -0.67250918E-02  -0.72709246E-03
  7148.2157       0.92799200       0.92772875       0.92791522       0.92765201      -0.70327162E-02  -0.65530907E-03
  7148.7157       0.92447564       0.92694106       0.92442494       0.92689039      -0.73804009E-02  -0.74566985E-03
  7149.2157       0.92061159       0.92618429       0.92058804       0.92616076      -0.77783861E-02  -0.40047885E-03
  7149.7157       0.91669725       0.92545805       0.91670189       0.92546272      -0.77808797E-02   0.10779875E-03
  7150.2157       0.91283071       0.92476191       0.91286462       0.92479584      -0.76705873E-02   0.17277789E-03
  7150.7157       0.90902666       0.92409546       0.90909089       0.92415971      -0.76081018E-02   0.58698865E-04
  7151.2157       0.90522261       0.92345830       0.90531822       0.92355393      -0.76118885E-02  -0.77337040E-05
  7151.7157       0.90141478       0.92285000       0.90154282       0.92297808      -0.76158355E-02  -0.13185223E-03
  7152.2157       0.89760678       0.92227016       0.89776833       0.92243174      -0.77437407E-02  -0.41098840E-03
  7152.7157       0.89367103       0.92171836       0.89386715       0.92191450      -0.80268240E-02  -0.43842178E-03
  7153.2157       0.88957995       0.92119418       0.88981170       0.92142596      -0.81821625E-02  -0.20531940E-03
  7153.7157       0.88548887       0.92069723       0.88575730       0.92096569      -0.82321434E-02  -0.10556346E-03
  7154.2157       0.88134781       0.92022707       0.88165399       0.92053328      -0.82877259E-02   0.19283644E-03
  7154.7157       0.87720115       0.91978331       0.87754613       0.92012833      -0.80393069E-02   0.10772521E-02
  7155.2157       0.87330850       0.91936553       0.87369336       0.91975041      -0.72104739E-02   0.14036454E-02
  7155.7157       0.86999067       0.91897331       0.87041646       0.91939912      -0.66356615E-02   0.13216863E-02
  7156.2157       0.86667284       0.91860624       0.86714062       0.91907404      -0.58887875E-02   0.18566291E-02
  7156.7157       0.86410188       0.91826391       0.86461272       0.91877477      -0.47790325E-02   0.14755286E-02
  7157.2157       0.86189381       0.91794591       0.86244875       0.91850088      -0.44132590E-02   0.17658240E-02
  7157.7157       0.85968863       0.91765182       0.86028874       0.91825196      -0.30132085E-02   0.27972085E-02
  7158.2157       0.85888060       0.91738123       0.85952695       0.91802761      -0.16160505E-02   0.16309388E-02
  7158.7157       0.85807258       0.91713373       0.85876622       0.91782740      -0.13822697E-02   0.10299992E-02
  7159.2157       0.85749833       0.91690890       0.85824034       0.91765093      -0.58605135E-03   0.13586558E-02
  7159.7157       0.85748652       0.91670634       0.85827795       0.91749778      -0.23613884E-04   0.91228346E-03
  7160.2157       0.85747472       0.91652562       0.85831662       0.91736755       0.32623211E-03   0.10005358E-02
  7160.7157       0.85781276       0.91636634       0.85870620       0.91725981       0.97692193E-03   0.95153367E-03
  7161.2157       0.85845164       0.91622809       0.85939768       0.91717415       0.12777658E-02   0.11833712E-02
  7161.7157       0.85909052       0.91611044       0.86009022       0.91711017       0.21602931E-02   0.20580988E-02
  7162.2157       0.86061193       0.91601300       0.86166635       0.91706745       0.33358645E-02   0.14686155E-02
  7162.7157       0.86242639       0.91593533       0.86353659       0.91704557       0.36289086E-02   0.10782970E-02
  7163.2157       0.86424084       0.91587705       0.86540789       0.91704412       0.44141616E-02   0.16392491E-02
  7163.7157       0.86684055       0.91583772       0.86806550       0.91706270       0.52681578E-02   0.96183298E-03
  7164.2157       0.86950900       0.91581693       0.87079292       0.91710088       0.53759945E-02   0.93493234E-03
  7164.7157       0.87221654       0.91581428       0.87356049       0.91715825       0.62030901E-02   0.16150976E-02
  7165.2157       0.87571209       0.91582935       0.87711712       0.91723441       0.69910922E-02   0.80609703E-03
  7165.7157       0.87920763       0.91586173       0.88067481       0.91732894       0.70091871E-02   0.14990565E-03
  7166.2157       0.88272128       0.91591101       0.88425166       0.91744142       0.71409978E-02   0.24552639E-03
  7166.7157       0.88634863       0.91597676       0.88794329       0.91757145       0.72547135E-02   0.10617551E-03
  7167.2157       0.88997599       0.91605859       0.89163598       0.91771860       0.72471733E-02  -0.48040563E-04
  7167.7157       0.89359581       0.91615607       0.89532219       0.91788248       0.72066730E-02  -0.73460537E-04
  7168.2157       0.89718266       0.91626880       0.89897650       0.91806266       0.71737128E-02  -0.83422491E-04
  7168.7157       0.90076952       0.91639635       0.90263186       0.91825873       0.71232505E-02  -0.30208197E-03
  7169.2157       0.90430591       0.91653833       0.90623783       0.91847028       0.68716308E-02  -0.45277697E-03
  7169.7157       0.90764115       0.91669431       0.90964371       0.91869689       0.66704735E-02  -0.19443155E-03
  7170.2157       0.91097639       0.91686388       0.91305064       0.91893816       0.66771993E-02   0.46200904E-04
  7170.7157       0.91431835       0.91704664       0.91646536       0.91919367       0.67166744E-02   0.72224489E-04
  7171.2157       0.91769306       0.91724215       0.91991389       0.91946301       0.67494238E-02   0.13456870E-04
  7171.7157       0.92106777       0.91745003       0.92336348       0.91974576       0.67301313E-02  -0.19641780E-03
  7172.2157       0.92442319       0.91766984       0.92679484       0.92004152       0.65530060E-02  -0.16044015E-02
  7172.7157       0.92762078       0.91790118       0.93006942       0.92034986       0.51257298E-02  -0.74891684E-03
  7176.9421       0.94864928       0.92025976       0.95179117       0.92340168       0.30133493E-02  -0.50294441E-03
  7181.3399       0.95360846       0.92328888       0.95755220       0.92723265       0.78824389E-03  -0.31914263E-03
