 e norm nbkg flat fbkg nder nsec
 7103.3996 0.45461278E-02 0.45461287E-02 0.45461287E-02 0.45461287E-02 -0.17496199E-03 -0.89694312E-02
 7103.5024 0.44029194E-02 0.44029203E-02 0.44029203E-02 0.44029203E-02 -0.60367506E-03 0.61252359E-02
 7103.5987 0.44259928E-02 0.44259937E-02 0.44259937E-02 0.44259937E-02 0.10439967E-02 0.13149145E-01
 7103.6949 0.46038741E-02 0.46038750E-02 0.46038751E-02 0.46038750E-02 0.19273513E-02 -0.31316579E-03
 7103.7960 0.48064231E-02 0.48064240E-02 0.48064240E-02 0.48064240E-02 0.98218248E-03 -0.15240203E-01
 7103.9004 0.48057598E-02 0.48057607E-02 0.48057607E-02 0.48057607E-02 -0.12052418E-02 -0.77828891E-02
 7104.0049 0.45547481E-02 0.45547490E-02 0.45547490E-02 0.45547490E-02 -0.64301708E-03 0.71229109E-02
 7104.1011 0.46767281E-02 0.46767290E-02 0.46767291E-02 0.46767290E-02 0.22408421E-03 0.71856034E-02
 7104.1990 0.45982532E-02 0.45982541E-02 0.45982541E-02 0.45982541E-02 0.75203908E-03 0.33150477E-02
 7104.3018 0.48276451E-02 0.48276460E-02 0.48276460E-02 0.48276460E-02 0.88933803E-03 -0.27933030E-02
 7104.4046 0.47810815E-02 0.47810824E-02 0.47810824E-02 0.47810824E-02 0.17779743E-03 0.26096633E-02
 7104.5041 0.48636174E-02 0.48636184E-02 0.48636184E-02 0.48636184E-02 0.14173303E-02 0.40150995E-02
 7104.5971 0.50539700E-02 0.50539710E-02 0.50539710E-02 0.50539710E-02 0.95085263E-03 -0.18019093E-02
 7104.6934 0.50435938E-02 0.50435948E-02 0.50435948E-02 0.50435948E-02 0.10762667E-02 -0.93837789E-04
 7104.7913 0.52629595E-02 0.52629605E-02 0.52629605E-02 0.52629605E-02 0.93263121E-03 -0.22376161E-02
 7104.8908 0.52277400E-02 0.52277410E-02 0.52277410E-02 0.52277410E-02 0.63445391E-03 0.31810637E-02
 7104.9953 0.53923767E-02 0.53923777E-02 0.53923777E-02 0.53923777E-02 0.15815109E-02 0.17361258E-02
 7105.0981 0.55555113E-02 0.55555124E-02 0.55555124E-02 0.55555124E-02 0.99426945E-03 -0.63077474E-02
 7105.1960 0.55919564E-02 0.55919575E-02 0.55919575E-02 0.55919575E-02 0.31535681E-03 -0.35103970E-02
 7105.2939 0.56172711E-02 0.56172722E-02 0.56172722E-02 0.56172722E-02 0.30678979E-03 -0.21749485E-02
 7105.3967 0.56535420E-02 0.56535431E-02 0.56535431E-02 0.56535431E-02 -0.12124669E-03 0.11070990E-02
 7105.4963 0.55927332E-02 0.55927343E-02 0.55927343E-02 0.55927343E-02 0.53084449E-03 0.78256832E-02
 7105.5975 0.57601111E-02 0.57601123E-02 0.57601123E-02 0.57601123E-02 0.14497905E-02 0.14878719E-02
 7105.6971 0.58837931E-02 0.58837943E-02 0.58837943E-02 0.58837943E-02 0.82954965E-03 -0.51690027E-02
 7105.7950 0.59239480E-02 0.59239492E-02 0.59239492E-02 0.59239492E-02 0.42890731E-03 0.11291751E-03
 7105.8929 0.59678049E-02 0.59678061E-02 0.59678061E-02 0.59678061E-02 0.85166725E-03 0.28174705E-02
 7105.9974 0.60963340E-02 0.60963352E-02 0.60963352E-02 0.60963352E-02 0.99919152E-03 -0.12077856E-02
 7106.0986 0.61733196E-02 0.61733209E-02 0.61733209E-02 0.61733209E-02 0.60324871E-03 -0.28793046E-02
 7106.1982 0.62174603E-02 0.62174615E-02 0.62174615E-02 0.62174615E-02 0.42105595E-03 -0.44429924E-03
 7106.3027 0.62592403E-02 0.62592416E-02 0.62592416E-02 0.62592416E-02 0.51258501E-03 -0.35243614E-03
 7106.4023 0.63220615E-02 0.63220627E-02 0.63220627E-02 0.63220627E-02 0.34913571E-03 0.39441032E-03
 7106.5002 0.63282093E-02 0.63282105E-02 0.63282105E-02 0.63282105E-02 0.59049761E-03 0.10225718E-01
 7106.5982 0.64377488E-02 0.64377501E-02 0.64377501E-02 0.64377501E-02 0.23525073E-02 0.96954496E-02
 7106.6961 0.67891149E-02 0.67891162E-02 0.67891162E-02 0.67891162E-02 0.24900398E-02 -0.53531471E-02
 7106.7941 0.69256123E-02 0.69256137E-02 0.69256137E-02 0.69256137E-02 0.13036866E-02 -0.11424914E-01
 7106.8953 0.70488053E-02 0.70488067E-02 0.70488067E-02 0.70488067E-02 0.21423121E-03 -0.89000181E-02
 7106.9966 0.69689877E-02 0.69689891E-02 0.69689891E-02 0.69689891E-02 -0.49830006E-03 0.37545914E-02
 7107.0995 0.69470983E-02 0.69470997E-02 0.69470997E-02 0.69470997E-02 0.98057334E-03 0.97331078E-02
 7107.1974 0.71659339E-02 0.71659353E-02 0.71659354E-02 0.71659353E-02 0.14565752E-02 -0.17444586E-02
 7107.2970 0.72349015E-02 0.72349030E-02 0.72349030E-02 0.72349030E-02 0.63588751E-03 -0.68888233E-03
 7107.4016 0.72957351E-02 0.72957365E-02 0.72957366E-02 0.72957365E-02 0.13159564E-02 0.40418508E-02
 7107.5012 0.75035303E-02 0.75035318E-02 0.75035318E-02 0.75035318E-02 0.14609586E-02 0.53372030E-02
