e         norm        nbkg        flat        fbkg        nder        nsec
  7103.4013       0.89008968E-02   0.89008959E-02   0.89008959E-02   0.89008959E-02   0.33938139E-03   0.22771285E-04
  7103.5008       0.88725062E-02   0.88725053E-02   0.88725053E-02   0.88725053E-02   0.11596095E-02   0.91449901E-02
  7103.6003       0.91316648E-02   0.91316640E-02   0.91316640E-02   0.91316640E-02   0.21592801E-02  -0.17070148E-02
  7103.6998       0.93022267E-02   0.93022258E-02   0.93022258E-02   0.93022258E-02   0.81989476E-03  -0.69694305E-02
  7103.8010       0.92961751E-02   0.92961742E-02   0.92961742E-02   0.92961742E-02   0.76087784E-03   0.51257914E-02
  7103.9021       0.94561416E-02   0.94561407E-02   0.94561407E-02   0.94561407E-02   0.18567706E-02   0.21706941E-02
  7104.0000       0.96657263E-02   0.96657254E-02   0.96657253E-02   0.96657254E-02   0.11929089E-02  -0.64861947E-02
  7104.0946       0.96857861E-02   0.96857852E-02   0.96857852E-02   0.96857852E-02   0.60812623E-03   0.28453235E-02
  7104.1942       0.97837916E-02   0.97837906E-02   0.97837906E-02   0.97837906E-02   0.17453171E-02   0.45841521E-02
  7104.3002       0.10044574E-01   0.10044573E-01   0.10044573E-01   0.10044573E-01   0.15504995E-02  -0.31098933E-02
  7104.4046       0.10110128E-01   0.10110127E-01   0.10110127E-01   0.10110127E-01   0.10907716E-02  -0.89895743E-03
  7104.5058       0.10268821E-01   0.10268820E-01   0.10268820E-01   0.10268820E-01   0.13656874E-02   0.14323177E-02
  7104.6037       0.10381987E-01   0.10381986E-01   0.10381986E-01   0.10381986E-01   0.13758945E-02   0.26728492E-02
  7104.6983       0.10533738E-01   0.10533737E-01   0.10533737E-01   0.10533737E-01   0.18803231E-02  -0.44321553E-03
  7104.7995       0.10750177E-01   0.10750176E-01   0.10750176E-01   0.10750176E-01   0.12891076E-02  -0.50069348E-03
  7104.8974       0.10790375E-01   0.10790374E-01   0.10790374E-01   0.10790374E-01   0.17806445E-02   0.27318922E-02
  7104.9986       0.11104680E-01   0.11104679E-01   0.11104679E-01   0.11104679E-01   0.18329918E-02  -0.45654048E-02
  7105.1063       0.11173260E-01   0.11173258E-01   0.11173258E-01   0.11173258E-01   0.82699997E-03  -0.56825984E-02
  7105.2026       0.11273384E-01   0.11273382E-01   0.11273382E-01   0.11273382E-01   0.67377582E-03   0.48955882E-02
  7105.2989       0.11303013E-01   0.11303012E-01   0.11303011E-01   0.11303012E-01   0.17697728E-02   0.61554208E-02
  7105.3984       0.11619988E-01   0.11619987E-01   0.11619987E-01   0.11619987E-01   0.18792965E-02  -0.21065800E-02
  7105.4980       0.11677211E-01   0.11677209E-01   0.11677209E-01   0.11677209E-01   0.13503190E-02   0.92308487E-03
  7105.5976       0.11888866E-01   0.11888865E-01   0.11888865E-01   0.11888865E-01   0.20631030E-02  -0.81291570E-03
  7105.6971       0.12088032E-01   0.12088031E-01   0.12088031E-01   0.12088031E-01   0.11884447E-02  -0.36217164E-02
  7105.7951       0.12123585E-01   0.12123584E-01   0.12123584E-01   0.12123584E-01   0.13478104E-02   0.86724568E-03
  7105.8963       0.12356434E-01   0.12356433E-01   0.12356433E-01   0.12356433E-01   0.13611471E-02   0.78491000E-03
  7106.0024       0.12405761E-01   0.12405760E-01   0.12405760E-01   0.12405760E-01   0.15105278E-02   0.46886792E-02
  7106.0987       0.12662189E-01   0.12662188E-01   0.12662188E-01   0.12662188E-01   0.23102108E-02   0.16574241E-02
  7106.1934       0.12846997E-01   0.12846996E-01   0.12846996E-01   0.12846996E-01   0.18270858E-02  -0.32910721E-03
  7106.2978       0.13026077E-01   0.13026075E-01   0.13026075E-01   0.13026075E-01   0.22446648E-02   0.13591673E-02
  7106.4007       0.13312388E-01   0.13312387E-01   0.13312387E-01   0.13312387E-01   0.21088847E-02  -0.18325149E-02
  7106.5019       0.13456441E-01   0.13456440E-01   0.13456440E-01   0.13456440E-01   0.18706999E-02  -0.42340870E-03
  7106.6015       0.13688049E-01   0.13688048E-01   0.13688048E-01   0.13688048E-01   0.20238587E-02  -0.10404274E-02
  7106.6995       0.13856262E-01   0.13856261E-01   0.13856261E-01   0.13856261E-01   0.16651593E-02   0.27685183E-02
