Distance,E_r,H,stdev_E,stdev_H
\mum,GPa,GPa,GPa,GPa
0,25.7512,1.3238,2.7,0.17
40,18.0179,1.0062,1.94,0.16
80,17.4512,1.0734,1.33,0.18
120,17.899,1.0029,1.1,0.15
160,18.1562,0.99272,1.03,0.13
200,17.8673,1.0119,1.09,0.2
240,21.5016,1.404,1.12,0.12
