E_r,H
GPa,GPa
14.0504,0.51384
8.15601,0.48619
19.2843,1.1792
16.7086,1.0247
12.1614,0.8
14.2421,1.2
18.5363,1.0559
10.2773,0.4903
16.7831,0.61019
14.2639,1.3954
24.1026,1.4606
27.6208,1.71
20.8417,1.2899
27.0348,1.4335
29.8951,1.4728
86.2528,3.5887
33.0317,2.2379
35.7138,2.3047
30.5583,2.1719
30.0946,2.17
33.0317,2.2379
40.3822,2.8052
35.7138,2.3047
30.5583,2.1719
42.0413,2.8942
43.7731,3.1359
69.0441,3.025
45.4788,2.8375
