NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.549,2.001,1.637,1.671,1.727,1.593,2.469,1.95,2.55,3.747,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.936,1.907,1.682,1.643,1.623,1.49,2.223,1.86,1.331,1.411,1.446,1.669,1.403,1.043,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.203,1.651,1.479,1.391,1.533,1.736,1.569,2.008,1.409,1.537,1.245,1.271,1.427,1.405,2.595,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,1.303,1.822,1.519,1.313,1.49,1.535,1.845,1.633,1.672,1.856,1.401,1.545,1.342,1.289,1.264,1.422,1.473,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,1.864,1.575,1.557,1.614,1.635,1.622,1.686,1.506,1.711,1.485,1.742,1.419,NaN,1.658,1.761,1.483,1.617,1.787,1.346,1.259,1.264,1.175,1.346,1.592,0.797,NaN,1.608,2.534,1.367
2.062,1.422,1.417,1.388,1.273,1.414,1.512,1.56,1.675,1.837,1.393,2.589,NaN,NaN,2.744,1.806,1.494,1.372,1.462,1.563,1.478,1.332,1.246,1.149,1.527,1.647,1.432,1.356,3.198,NaN
1.361,1.367,1.36,1.49,1.291,1.377,1.291,1.418,1.574,1.425,1.741,NaN,NaN,NaN,2.004,1.459,1.795,1.412,1.555,1.51,1.298,1.68,1.241,1.313,1.385,1.076,1.337,1.615,5.213,NaN
1.465,1.505,1.317,1.547,1.473,1.45,1.464,1.445,1.603,1.38,1.366,NaN,NaN,NaN,NaN,1.613,1.565,1.663,1.572,1.361,1.382,1.397,1.27,1.147,1.238,1.848,1.15,1.896,NaN,NaN
1.566,1.341,1.336,1.391,1.415,1.497,1.588,1.553,1.675,1.478,1.451,NaN,NaN,NaN,NaN,1.937,1.615,1.444,1.401,1.503,1.38,1.527,1.106,1.348,1.471,2.093,1.395,2.165,NaN,NaN
2.527,1.314,1.338,1.445,1.347,1.198,1.542,1.246,1.528,1.549,1.347,1.356,NaN,NaN,2.289,2.608,1.798,1.503,1.56,1.498,1.462,1.584,1.548,1.347,1.591,1.578,1.717,NaN,NaN,NaN
1.398,1.409,1.342,1.345,1.432,1.424,1.44,1.317,1.626,1.422,1.374,1.265,NaN,1.507,1.408,1.437,1.654,1.292,1.438,1.551,1.417,1.56,1.338,1.313,1.476,1.494,2.558,NaN,NaN,NaN
NaN,2.412,1.248,1.533,1.424,1.253,1.385,1.416,1.558,1.475,1.282,1.464,1.515,1.505,1.557,1.337,1.283,1.387,1.528,1.413,1.619,1.654,1.495,1.444,1.441,1.623,1.503,NaN,NaN,NaN
NaN,NaN,1.597,1.591,1.221,1.26,1.414,1.421,1.414,1.448,1.466,1.464,1.675,1.59,1.349,1.356,1.402,1.595,1.484,1.461,1.372,1.446,1.397,1.244,1.198,2.037,NaN,NaN,NaN,NaN
NaN,NaN,NaN,1.539,1.634,1.481,1.422,1.33,1.598,1.375,1.501,1.562,1.404,1.492,1.459,1.404,1.383,1.522,1.433,1.24,1.283,1.321,1.416,1.356,1.385,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,2.442,1.537,1.529,1.708,1.796,1.888,2.351,2.079,1.781,1.576,1.497,1.558,1.526,1.525,1.433,1.304,1.393,1.42,1.298,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.014,2.215,NaN,NaN,NaN,NaN,2.047,1.63,1.419,1.427,1.295,1.483,1.257,1.355,1.448,1.54,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.432,1.53,1.433,1.554,1.509,1.408,1.688,1.517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.181,2.002,2.186,1.563,1.933,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
